client,bank,context,family,counts,count_min,count_median,singular_values,rank,condition,matrix_sha256
21,A,contrast_low,H,"[1516, 1495, 1509, 1479, 1253, 1500, 1527, 1508, 1502, 1508]",1253,1505.0,"[1.534764298956679, 0.9985200429222125, 0.5846449132192877, 0.3151260158529398, 0.10771378199861031, 0.09571869811159556, 0.04117514081912024, 0.023183302686215834, 2.8756518789075183e-18, 0.0]",8,inf,386f65996d3cfaebc8ed1865336035cb3c58dafc7e33e1e86a79414a7b3267b7
21,A,contrast_low,S,"[167, 188, 233, 195, 162, 225, 163, 231, 185, 231]",162,191.5,"[1.194244273201595, 0.6751919079150854, 0.2936024366256826, 0.16097943360271844, 0.08888197798074561, 0.05280343717290573, 0.033558531571954715, 0.014053991021351528, 0.007127953609026202, 0.006589699067678204]",10,181.22895460571792,cc6f2b28c1343c75d01d427f0f13a059ae46a526f054fd9e72b1d5423c526545
21,A,gaussian_noise,H,"[1516, 1495, 1509, 1479, 1253, 1500, 1527, 1508, 1502, 1508]",1253,1505.0,"[1.4408043943179758, 1.0202769469616044, 0.6317356909754986, 0.4143962821665754, 0.18260944636621454, 0.13548652412178477, 0.09087438920989659, 0.052048275321714084, 0.0025711442984840582, 0.0]",9,inf,f1d2d4ae2173c297fb44f02bbf498549ae353898e1725f9a8769273924a06a8b
21,A,gaussian_noise,S,"[167, 188, 233, 195, 162, 225, 163, 231, 185, 231]",162,191.5,"[1.1857298811874977, 0.711014844543407, 0.3243039052512089, 0.2312945112261152, 0.1361955770652511, 0.07486424090167584, 0.06556232685824574, 0.023172862550637864, 0.015788434804045338, 0.013196443447065597]",10,89.85223071229547,f060ba11e79bcbbec03492744b9478003a33f957c161296922f920b1a137af25
21,A,gaussian_blur,H,"[1516, 1495, 1509, 1479, 1253, 1500, 1527, 1508, 1502, 1508]",1253,1505.0,"[1.4378377870947927, 1.0300452480328783, 0.6422430192274893, 0.40706351901544036, 0.19419941695860768, 0.13102064026283064, 0.11354342746687973, 0.06819895142354172, 0.0026303878759946393, 0.0]",9,inf,848b59c1ec2847ee655122ea68797edf0be4da5ec2d4b73a4df18c2657a191ad
21,A,gaussian_blur,S,"[167, 188, 233, 195, 162, 225, 163, 231, 185, 231]",162,191.5,"[1.188554983286695, 0.7265637575518304, 0.31659983608473136, 0.2248979051198587, 0.13506660171888255, 0.07682265079254276, 0.0669554255157234, 0.024314053736036748, 0.01548728172684223, 0.014232391249091439]",10,83.51056140074631,4dff333e8017675d7ed939a9cca5e258b91230348289a624730d759313982adf
21,B,clean,H,"[1516, 1495, 1509, 1479, 1253, 1500, 1527, 1508, 1502, 1508]",1253,1505.0,"[1.4312843576685461, 1.0483675373531431, 0.6689185274882345, 0.45104892141278713, 0.19365684838143657, 0.14274164410917478, 0.12330030103366806, 0.06474220063013394, 0.0007945339523308855, 0.0]",9,inf,96e9e28803ae034d67097f649b9048e59a4291716f51027e3b55529248da761d
21,B,clean,S,"[167, 188, 233, 195, 162, 225, 163, 231, 185, 231]",162,191.5,"[1.1843297237953703, 0.747451198074285, 0.35431293863718877, 0.25093815556055205, 0.1428569406554532, 0.0786276835716382, 0.07662166370707434, 0.025232024108746358, 0.01680592462771908, 0.014757661192138002]",10,80.25185755221906,1029e62a9aec8d687a343106adbc0c4ecfcd22bf3a1f30715b3769319752250f
21,B,brightness_dark,H,"[1516, 1495, 1509, 1479, 1253, 1500, 1527, 1508, 1502, 1508]",1253,1505.0,"[1.4324646038446824, 1.037999893422961, 0.6618565190565266, 0.4456329365660658, 0.17854276036469569, 0.12379206130482855, 0.11701953988011299, 0.031768133308258284, 0.0008260117957491189, 0.0]",9,inf,d666f9c22cbaa659674367adc9670d67880d39efeb84ed266e017ee60a6523a6
21,B,brightness_dark,S,"[167, 188, 233, 195, 162, 225, 163, 231, 185, 231]",162,191.5,"[1.17871021098394, 0.7377870220819747, 0.32627895118053823, 0.2235638126046549, 0.11213289484859136, 0.07211624841785719, 0.05765956390615615, 0.015836542890445105, 0.010367903833927886, 0.005624200369083232]",10,209.57827488924877,71a4312bac66918b4d3bff7b0fa079bc2a19305d508fded7e1a16f4e67e83a9f
21,B,contrast_low,H,"[1516, 1495, 1509, 1479, 1253, 1500, 1527, 1508, 1502, 1508]",1253,1505.0,"[1.5540042080684626, 0.9935042824363871, 0.6067237059814172, 0.3083713088060699, 0.09471020837564269, 0.07445386432064392, 0.03313789390524744, 0.026107477318319836, 6.143197002156661e-18, 0.0]",8,inf,2373b02ba7744944e754d1abc502e1f6b8c7ba272b3b71f5fcb9003825b9164e
21,B,contrast_low,S,"[167, 188, 233, 195, 162, 225, 163, 231, 185, 231]",162,191.5,"[1.2053726798194135, 0.6839507430192335, 0.294119329783832, 0.15789974340639124, 0.08603526878210713, 0.045993445476487045, 0.034875916411586924, 0.012663780125970843, 0.0067528154661759664, 0.006455089543229641]",10,186.7321393060546,a5c35281a1ded7c4217e5a8ff9ef78fd6d241f066ebbf933e2f71b33c2583ecb
21,B,gaussian_noise,H,"[1516, 1495, 1509, 1479, 1253, 1500, 1527, 1508, 1502, 1508]",1253,1505.0,"[1.4467027832638644, 1.0216986963488819, 0.6293891497689261, 0.40499844534938717, 0.18607177558557958, 0.12998258194735454, 0.08961553167388189, 0.05418946068284187, 0.0019996291083512305, 0.0]",9,inf,678ba91fbb5bc20714d3e486394a251d054564ff85648502d5c4c9cd32ed154a
21,B,gaussian_noise,S,"[167, 188, 233, 195, 162, 225, 163, 231, 185, 231]",162,191.5,"[1.186551935552533, 0.7115383540838065, 0.3199195591191148, 0.2293823962797644, 0.13572786432737233, 0.07257440999962994, 0.06454347578257646, 0.02312482097209782, 0.015557341569492681, 0.012709723761447423]",10,93.35780681179845,974875768ce16c42f259f893fe2091851fd70bf7d681a2da3dc690246b0c4ecc
21,B,gaussian_blur,H,"[1516, 1495, 1509, 1479, 1253, 1500, 1527, 1508, 1502, 1508]",1253,1505.0,"[1.438464490439601, 1.0302117510462336, 0.6421332208054502, 0.39772524508850066, 0.19452155600352106, 0.13647807642650545, 0.11039604759980276, 0.07027203093214916, 0.0019922646967233167, 0.0]",9,inf,f76b013cb9e352632ebb82fcd3c2c69f1deb5f7995d79cc21bc263a28b351a61
21,B,gaussian_blur,S,"[167, 188, 233, 195, 162, 225, 163, 231, 185, 231]",162,191.5,"[1.193179438323717, 0.7311373282680296, 0.3187645808182787, 0.22587867127707162, 0.134566119083256, 0.0783808177552077, 0.06657827877835393, 0.02414861913059578, 0.015203259043099783, 0.014094748461757324]",10,84.65418461075198,e014c3adb9d0f0eada5864b707698aeda24ecd1d20e51ecca840c077b2e2d3d0
22,A,clean,H,"[1516, 1403, 1426, 1482, 1492, 1500, 1527, 1508, 1502, 1508]",1403,1501.0,"[1.4317238207483605, 1.0481499294233332, 0.6688867957711899, 0.45057125698864475, 0.19351460965200798, 0.1427669549502171, 0.12376460036156195, 0.06455295442931867, 0.0007242449871117897, 0.0]",9,inf,c286d5892331ebee3e71a279161f36d06d21e3d42654ecff8c89532367a673df
22,A,clean,S,"[167, 180, 221, 195, 182, 225, 163, 231, 185, 231]",163,190.0,"[1.1837499864587553, 0.7522210832230142, 0.354499097114281, 0.2528698819173672, 0.14336392109990576, 0.0783902427667831, 0.07712026471763254, 0.025358301239512878, 0.017249238541716685, 0.015693336090084036]",10,75.43010483326853,684dac559f7ddc3c9bdac6fe2a3f36020edf5ebd94e1018d454d7e3370d78871
22,A,brightness_dark,H,"[1516, 1403, 1426, 1482, 1492, 1500, 1527, 1508, 1502, 1508]",1403,1501.0,"[1.4406989925699802, 1.041856030547224, 0.6605465314226253, 0.44868547062510433, 0.17068332484735316, 0.12116742292449097, 0.11445295065457411, 0.028650282307386473, 0.0015769071396758603, 0.0]",9,inf,f745083f22becbcd769a8ef5b77347f92a5b7685197e99e092b61c62821e2c54
22,A,brightness_dark,S,"[167, 180, 221, 195, 182, 225, 163, 231, 185, 231]",163,190.0,"[1.1817306266822547, 0.7425303201506593, 0.3249440501037391, 0.2246809677040228, 0.11059662361893059, 0.07068915948915523, 0.05622683579512239, 0.0156589432564825, 0.011780078129673794, 0.006042608055252269]",10,195.5663210118498,1ec965273a9b1196bc8436259679eb8024189e487d629d39b7b4baf60efbe84f
22,A,contrast_low,H,"[1516, 1403, 1426, 1482, 1492, 1500, 1527, 1508, 1502, 1508]",1403,1501.0,"[1.5340463892745289, 0.9991168747522243, 0.5866949570447219, 0.31572111947941206, 0.10760024154441203, 0.09573236542027097, 0.04100604534278142, 0.02327821816877892, 9.3357990057822e-18, 0.0]",8,inf,63d4208be5e2db441f8def0e1fadfc04f01ca49455833ccfd81f19e978f87ac4
