client,target,n_query,none,oracle_correct_pair,oracle_target_permuted,oracle_wrong_alt,oracle_noise_source,oracle_target_permuted_delta,oracle_wrong_alt_delta,oracle_noise_source_delta
23,contrast_low,140,32.14285671710968,30.000001192092896,27.142858505249023,30.000001192092896,27.142858505249023,2.857142686843872,0.0,2.857142686843872
24,contrast_low,179,0.5586592014878988,0.5586592014878988,0.5586592014878988,0.5586592014878988,0.5586592014878988,0.0,0.0,0.0
25,contrast_low,36,13.88888955116272,36.11111044883728,19.44444477558136,19.44444477558136,19.44444477558136,16.66666567325592,16.66666567325592,16.66666567325592
26,contrast_low,284,69.01408433914185,72.53521084785461,94.71830725669861,80.28168678283691,94.71830725669861,-22.183096408843994,-7.7464759349823,-22.183096408843994
27,contrast_low,195,7.179487496614456,76.4102578163147,98.46154451370239,40.00000059604645,98.46154451370239,-22.051286697387695,36.41025722026825,-22.051286697387695
28,contrast_low,26,0.0,11.538462340831757,0.0,3.8461539894342422,0.0,11.538462340831757,7.692308351397514,11.538462340831757
29,contrast_low,382,5.235601961612701,69.1099464893341,100.0,31.15183413028717,100.0,-30.890053510665894,37.958112359046936,-30.890053510665894
30,contrast_low,275,25.45454502105713,21.090909838676453,30.54545521736145,21.090909838676453,39.636364579200745,-9.454545378684998,0.0,-18.545454740524292
31,contrast_low,202,42.07920730113983,52.970296144485474,98.01980257034302,56.43564462661743,98.01980257034302,-45.049506425857544,-3.465348482131958,-45.049506425857544
32,contrast_low,198,21.717171370983124,24.242424964904785,24.242424964904785,22.22222238779068,19.696970283985138,0.0,2.0202025771141052,4.545454680919647
