client,bank,target,alpha,DeltaJ,DeltaC,DeltaAcc
0,B,contrast_low,1.0,96.68427414921669,-0.0012406846456659568,15.168539325842696
0,B,contrast_low,1.25,96.77764957506984,-0.0017171477679508548,15.730337078651685
0,B,contrast_low,1.5,89.45733579791239,-0.002291715811674311,15.730337078651685
0,A,gaussian_noise,0.0,0.0,0.0,0.0
0,A,gaussian_noise,0.25,10.04395974022285,-1.5747386275037113e-05,0.0
0,A,gaussian_noise,0.5,17.770972475317773,-9.651273146161349e-06,0.0
0,A,gaussian_noise,0.75,22.681381105865725,1.2346808690032358e-05,0.0
0,A,gaussian_noise,1.0,24.222461647574768,5.044833828394841e-05,0.0
0,A,gaussian_noise,1.25,21.595926160727252,0.00013119839224172512,1.1235955056179776
0,A,gaussian_noise,1.5,13.539194941909745,0.0002519232156592455,-1.1235955056179776
0,B,gaussian_noise,0.0,0.0,0.0,0.0
0,B,gaussian_noise,0.25,10.432390149331528,4.757347984699414e-06,0.0
0,B,gaussian_noise,0.5,18.533538625962912,2.927902516054043e-05,0.0
0,B,gaussian_noise,0.75,23.797935695785,6.880939516129645e-05,0.0
0,B,gaussian_noise,1.0,25.64476138892754,0.00012502999780601189,0.0
0,B,gaussian_noise,1.25,23.258546391433697,0.00021429776678143046,0.5617977528089888
0,B,gaussian_noise,1.5,15.267467408851289,0.0003406139151280823,-1.1235955056179776
0,A,gaussian_blur,0.0,0.0,0.0,0.0
0,A,gaussian_blur,0.25,5.918802419051966,-0.00025072590030475114,1.6853932584269662
0,A,gaussian_blur,0.5,9.918128809114831,-0.0004913125652034004,2.808988764044944
0,A,gaussian_blur,0.75,11.880309125423361,-0.0007346463097351289,5.617977528089888
0,A,gaussian_blur,1.0,11.865236970228782,-0.0009864316988154494,5.617977528089888
0,A,gaussian_blur,1.25,9.925605767556858,-0.0012476147851637172,7.303370786516854
0,A,gaussian_blur,1.5,6.099721038538998,-0.0015204600120090617,8.98876404494382
0,B,gaussian_blur,0.0,0.0,0.0,0.0
