client,bank,target,J_ray,PC_ray_safe
61,A,gaussian_noise,1.0,1.5
61,B,gaussian_noise,1.0,1.5
61,A,gaussian_blur,1.0,0.0
61,B,gaussian_blur,1.0,0.0
62,A,brightness_dark,1.0,0.0
62,B,brightness_dark,1.0,0.0
62,A,contrast_low,1.0,0.0
62,B,contrast_low,1.0,0.0
62,A,gaussian_noise,1.0,0.0
62,B,gaussian_noise,1.0,0.0
62,A,gaussian_blur,0.75,0.0
62,B,gaussian_blur,0.75,0.0
63,A,brightness_dark,1.25,0.0
63,B,brightness_dark,1.0,0.0
63,A,contrast_low,1.25,0.0
63,B,contrast_low,1.25,0.0
63,A,gaussian_noise,0.75,1.5
63,B,gaussian_noise,0.75,1.5
63,A,gaussian_blur,1.25,0.0
63,B,gaussian_blur,1.25,0.0
64,A,brightness_dark,1.0,0.0
64,B,brightness_dark,1.0,0.0
64,A,contrast_low,1.0,0.0
64,B,contrast_low,1.0,0.0
64,A,gaussian_noise,0.75,1.5
64,B,gaussian_noise,0.75,1.5
64,A,gaussian_blur,1.0,0.0
64,B,gaussian_blur,1.0,0.0
65,A,brightness_dark,1.0,0.0
65,B,brightness_dark,1.0,0.0
65,A,contrast_low,1.25,0.0
65,B,contrast_low,1.25,0.0
65,A,gaussian_noise,1.0,0.0
65,B,gaussian_noise,1.0,0.0
65,A,gaussian_blur,1.0,0.0
65,B,gaussian_blur,1.0,0.0
66,A,brightness_dark,1.0,0.0
66,B,brightness_dark,1.0,0.0
66,A,contrast_low,1.0,0.0
66,B,contrast_low,1.0,0.0
66,A,gaussian_noise,1.0,1.5
66,B,gaussian_noise,1.0,1.0
66,A,gaussian_blur,0.75,0.0
66,B,gaussian_blur,0.5,0.0
67,A,brightness_dark,1.0,0.0
67,B,brightness_dark,1.0,0.0
67,A,contrast_low,1.0,0.0
67,B,contrast_low,1.0,0.0
67,A,gaussian_noise,1.0,1.5
67,B,gaussian_noise,1.0,1.5
67,A,gaussian_blur,0.75,0.0
67,B,gaussian_blur,0.75,0.0
68,A,brightness_dark,1.0,0.0
68,B,brightness_dark,1.0,0.0
68,A,contrast_low,1.0,0.0
68,B,contrast_low,1.0,0.0
68,A,gaussian_noise,1.0,0.0
68,B,gaussian_noise,1.0,0.0
68,A,gaussian_blur,0.75,0.0
68,B,gaussian_blur,0.75,1.5
69,A,brightness_dark,1.0,0.0
69,B,brightness_dark,1.0,0.0
69,A,contrast_low,1.25,0.0
69,B,contrast_low,1.0,0.0
69,A,gaussian_noise,1.0,1.5
69,B,gaussian_noise,1.0,1.5
69,A,gaussian_blur,1.0,0.0
69,B,gaussian_blur,0.75,0.0
70,A,brightness_dark,1.0,0.0
70,B,brightness_dark,1.0,0.0
70,A,contrast_low,0.75,0.0
70,B,contrast_low,1.0,0.0
70,A,gaussian_noise,0.75,1.5
70,B,gaussian_noise,0.75,1.5
70,A,gaussian_blur,1.0,0.0
70,B,gaussian_blur,1.0,0.0
71,A,brightness_dark,1.25,0.0
71,B,brightness_dark,1.0,0.0
71,A,contrast_low,1.25,0.0
71,B,contrast_low,1.5,0.0
71,A,gaussian_noise,0.75,1.5
71,B,gaussian_noise,0.75,1.5
71,A,gaussian_blur,1.5,0.0
71,B,gaussian_blur,1.5,0.0
72,A,brightness_dark,1.0,0.0
72,B,brightness_dark,1.0,0.0
72,A,contrast_low,1.0,0.0
72,B,contrast_low,1.0,0.0
72,A,gaussian_noise,0.75,0.0
