client,bank,target,candidate,DeltaC,DeltaJ,DeltaAcc
4,A,brightness_dark,brightness_dark,-0.002463567171587763,180.706726678781,1.9047619047619047
4,A,brightness_dark,contrast_low,-0.0007752251801091031,42.58854302323084,0.0
4,A,brightness_dark,gaussian_noise,0.00010433287943957184,-59.17583233489273,0.0
4,A,brightness_dark,gaussian_blur,-0.000341673564055233,38.23573988507724,0.0
4,B,brightness_dark,clean,0.0,0.0,0.0
4,B,brightness_dark,brightness_dark,-0.002545095982331831,179.1449171061268,2.857142857142857
4,B,brightness_dark,contrast_low,-0.0007544979911274164,39.69886975863756,0.0
4,B,brightness_dark,gaussian_noise,0.00010073841989482899,-58.218758100673426,0.0
4,B,brightness_dark,gaussian_blur,-0.00036184167192884374,41.09730725942222,0.0
4,A,contrast_low,clean,0.0,0.0,0.0
4,A,contrast_low,brightness_dark,-0.0024170405853356806,-915.5117185828061,12.380952380952381
4,A,contrast_low,contrast_low,-0.000771625256164899,113.04407953848553,3.8095238095238093
4,A,contrast_low,gaussian_noise,7.341625364362783e-05,-78.52410463382347,0.0
4,A,contrast_low,gaussian_blur,-0.00020463700283533724,57.8253891339175,0.0
4,B,contrast_low,clean,0.0,0.0,0.0
4,B,contrast_low,brightness_dark,-0.002375690822254974,-487.7118218176517,12.380952380952381
4,B,contrast_low,contrast_low,-0.0007721109184147254,111.90458292457697,3.8095238095238093
4,B,contrast_low,gaussian_noise,6.498415371990039e-05,-76.16530184089493,0.0
4,B,contrast_low,gaussian_blur,-0.00021396072820226673,60.27830479111182,0.0
4,A,gaussian_noise,clean,0.0,0.0,0.0
4,A,gaussian_noise,brightness_dark,-0.015174842284097337,-3743.3092649220425,16.19047619047619
4,A,gaussian_noise,contrast_low,-0.00042812187795417556,-394.64861118987164,-1.9047619047619047
4,A,gaussian_noise,gaussian_noise,0.00016448873541127697,16.344060327544142,0.9523809523809523
4,A,gaussian_noise,gaussian_blur,-0.0005591561273480001,-73.43684335790905,0.0
4,B,gaussian_noise,clean,0.0,0.0,0.0
4,B,gaussian_noise,brightness_dark,-0.01492522744227933,-2357.9678757609445,16.19047619047619
4,B,gaussian_noise,contrast_low,0.0016831263316397452,-452.13186024738854,-4.761904761904762
4,B,gaussian_noise,gaussian_noise,0.00018431881474932372,16.823315619911575,0.9523809523809523
4,B,gaussian_noise,gaussian_blur,-0.0006090927801348806,-85.39453762881863,0.0
4,A,gaussian_blur,clean,0.0,0.0,0.0
4,A,gaussian_blur,brightness_dark,-0.008588603389623969,-2598.564620503256,15.238095238095237
4,A,gaussian_blur,contrast_low,-0.002114235964765709,-8.731590758412562,0.0
4,A,gaussian_blur,gaussian_noise,0.00018650335980311458,-47.7131708416984,0.0
4,A,gaussian_blur,gaussian_blur,-0.0004366103687953346,23.21661051144097,0.9523809523809523
4,B,gaussian_blur,clean,0.0,0.0,0.0
4,B,gaussian_blur,brightness_dark,-0.008372366918839157,-1919.4111496803255,15.238095238095237
4,B,gaussian_blur,contrast_low,-0.0017050178722306793,-8.704377032026361,0.0
4,B,gaussian_blur,gaussian_noise,0.000177922900517332,-46.64284552533945,0.9523809523809523
4,B,gaussian_blur,gaussian_blur,-0.0004375147862176725,23.842994637136524,0.0
5,A,clean,clean,0.0,0.0,0.0
5,A,clean,brightness_dark,-0.010459697241407684,-6762.364357905981,0.6329113924050633
5,A,clean,contrast_low,-0.00201643813828037,-170.91547492532393,-13.291139240506329
