bank,target,estimator,stratum,n,L1_mean,L1_median,JS_mean,JS_median,top_class_agreement,spearman_mean,spearman_median,spearman_valid
A,brightness_dark,raw_hard_11,all,100,1.2979999999999998,1.4,0.3831890648038563,0.3991830212578553,0.33,0.16239412076327164,0.22477357137720327,100
A,brightness_dark,raw_hard_11,quartile_1,25,1.3039999999999998,1.5000000000000002,0.3896175607961694,0.40852139540253596,0.48,0.2020277460372636,0.3138514904811289,25
A,brightness_dark,raw_hard_11,quartile_2,25,1.42,1.4,0.4074021259681499,0.377820559572958,0.2,0.21312573465040244,0.34259259259259256,25
A,brightness_dark,raw_hard_11,quartile_3,25,1.244,1.3,0.3777926622410693,0.4190214976493618,0.4,0.12330407122671018,0.1037645142322914,25
A,brightness_dark,raw_hard_11,quartile_4,25,1.224,1.3,0.3579439102100362,0.3848146258587857,0.24,0.11111893113871034,0.03474929375995637,25
A,brightness_dark,T015_zero_soft,all,100,1.4755939924802903,1.5090927318794778,0.3999580516926695,0.4042294604369602,0.15,0.10371606459339067,0.17279050442735322,100
A,brightness_dark,T015_zero_soft,quartile_1,25,1.628487959811154,1.7247681534085308,0.4591732244603615,0.4833420041543386,0.24,0.12297176125190097,0.19894973017461143,25
A,brightness_dark,T015_zero_soft,quartile_2,25,1.596387231370265,1.657000990255885,0.45237057460683405,0.45187831666294875,0.12,0.014934341253621924,0.03728333758674101,25
A,brightness_dark,T015_zero_soft,quartile_3,25,1.3506001873614357,1.3840191157228392,0.3538556139339384,0.3748683997532185,0.16,0.19305200362002914,0.17150335289900864,25
A,brightness_dark,T015_zero_soft,quartile_4,25,1.3269005913783074,1.3379237756179938,0.3344327937695442,0.3420040867520835,0.08,0.08390615224801062,0.11185001276022301,25
A,brightness_dark,T015_zero_hard,all,100,1.574,1.7000000000000002,0.49285916192194884,0.5382673918496315,0.14,0.07419384140195584,0.07340263761140489,100
A,brightness_dark,T015_zero_hard,quartile_1,25,1.54,1.8,0.4845455567540221,0.5474673938870493,0.2,0.11855888698696793,0.19977432661993444,25
A,brightness_dark,T015_zero_hard,quartile_2,25,1.696,1.9,0.5490965836081907,0.621376824859474,0.12,0.01536973098042957,0.0638550856814101,25
A,brightness_dark,T015_zero_hard,quartile_3,25,1.452,1.7,0.4474316078050029,0.47050006482778794,0.16,0.10950126464204737,0.2084875972073649,25
A,brightness_dark,T015_zero_hard,quartile_4,25,1.6079999999999999,1.7000000000000002,0.4903628995205792,0.5163993119678616,0.08,0.05334548299837845,0.04035399987325775,25
A,contrast_low,BBSE-H-01,all,100,1.1805889270307985,1.2465031205852477,0.32935537085765676,0.3281981241900102,0.37,0.33296207655600446,0.3736640224763291,100
A,contrast_low,BBSE-H-01,quartile_1,25,1.0402444348426139,1.2594498484258505,0.280091682894234,0.3014343535384867,0.52,0.44796199783272345,0.5000000000000001,25
A,contrast_low,BBSE-H-01,quartile_2,25,1.1854395020307835,1.3705768920872279,0.33841614917465607,0.3560121848944382,0.28,0.3676795433104962,0.3849001794597506,25
A,contrast_low,BBSE-H-01,quartile_3,25,1.2179806295430344,1.0533253562720395,0.3345330473341956,0.2941096738716561,0.32,0.3131993911816252,0.4311926605504588,25
A,contrast_low,BBSE-H-01,quartile_4,25,1.2786911417067615,1.3,0.3643806040275412,0.3636900803519656,0.36,0.20300737389917292,0.19687480773953941,25
A,contrast_low,BBSE-H-11,all,100,1.1805889270307985,1.2465031205852477,0.32935537085765676,0.3281981241900102,0.37,0.33296207655600446,0.3736640224763291,100
A,contrast_low,BBSE-H-11,quartile_1,25,1.0402444348426139,1.2594498484258505,0.280091682894234,0.3014343535384867,0.52,0.44796199783272345,0.5000000000000001,25
A,contrast_low,BBSE-H-11,quartile_2,25,1.1854395020307835,1.3705768920872279,0.33841614917465607,0.3560121848944382,0.28,0.3676795433104962,0.3849001794597506,25
A,contrast_low,BBSE-H-11,quartile_3,25,1.2179806295430344,1.0533253562720395,0.3345330473341956,0.2941096738716561,0.32,0.3131993911816252,0.4311926605504588,25
A,contrast_low,BBSE-H-11,quartile_4,25,1.2786911417067615,1.3,0.3643806040275412,0.3636900803519656,0.36,0.20300737389917292,0.19687480773953941,25
