bank,target,policy,stratum,control,L1_reduction,JS_reduction,dominant_agreement_gain
A,contrast_low,BBSE-H-01,quartile_4,raw_soft_01,-0.14793542821410144,-0.0827525767355482,0.15999999999999998
A,contrast_low,BBSE-H-01,quartile_4,raw_hard_01,-0.03869114170676169,-0.0012858059261642851,0.12
A,contrast_low,BBSE-H-01,quartile_4,T015_zero_hard,0.2653088582932386,0.10863620491273834,0.24
A,contrast_low,BBSE-H-11,all,raw_soft_11,0.16509109522757037,0.02730050416841595,0.09999999999999998
A,contrast_low,BBSE-H-11,all,raw_hard_11,0.16441107296920143,0.07389528789918831,0.07
A,contrast_low,BBSE-H-11,all,T015_zero_hard,0.35041107296920115,0.15016465036465482,0.16999999999999998
A,contrast_low,BBSE-H-11,quartile_1,raw_soft_11,0.4435566385404133,0.12133265774387181,0.08000000000000002
A,contrast_low,BBSE-H-11,quartile_1,raw_hard_11,0.32375556515738624,0.12896854482239328,0.08000000000000002
A,contrast_low,BBSE-H-11,quartile_1,T015_zero_hard,0.45575556515738636,0.19302125248749658,0.2
A,contrast_low,BBSE-H-11,quartile_2,raw_soft_11,0.3234640770814057,0.07786799287347607,0.16000000000000003
A,contrast_low,BBSE-H-11,quartile_2,raw_hard_11,0.3265604979692167,0.12356266074906946,0.08000000000000002
A,contrast_low,BBSE-H-11,quartile_2,T015_zero_hard,0.4865604979692164,0.19817411236462074,0.16000000000000003
A,contrast_low,BBSE-H-11,quartile_3,raw_soft_11,0.041279093502563535,-0.007246057208135204,0.0
A,contrast_low,BBSE-H-11,quartile_3,raw_hard_11,0.04601937045696558,0.04433575195145484,0.0
A,contrast_low,BBSE-H-11,quartile_3,T015_zero_hard,0.1940193704569657,0.10082703169376367,0.08000000000000002
A,contrast_low,BBSE-H-11,quartile_4,raw_soft_11,-0.14793542821410144,-0.0827525767355482,0.15999999999999998
A,contrast_low,BBSE-H-11,quartile_4,raw_hard_11,-0.03869114170676169,-0.0012858059261642851,0.12
A,contrast_low,BBSE-H-11,quartile_4,T015_zero_hard,0.2653088582932386,0.10863620491273834,0.24
A,contrast_low,BBSE-S-01,all,raw_soft_01,0.5056832113255141,0.1448924827485393,0.41999999999999993
A,contrast_low,BBSE-S-01,all,raw_hard_01,0.5050031890671451,0.19148726647931166,0.38999999999999996
A,contrast_low,BBSE-S-01,all,T015_zero_hard,0.6910031890671449,0.26775662894477814,0.48999999999999994
A,contrast_low,BBSE-S-01,quartile_1,raw_soft_01,0.8506259959663367,0.24592578804254686,0.39999999999999997
A,contrast_low,BBSE-S-01,quartile_1,raw_hard_01,0.7308249225833097,0.2535616751210683,0.39999999999999997
A,contrast_low,BBSE-S-01,quartile_1,T015_zero_hard,0.8628249225833098,0.3176143827861716,0.52
A,contrast_low,BBSE-S-01,quartile_2,raw_soft_01,0.7127985842612804,0.22581663961853166,0.64
A,contrast_low,BBSE-S-01,quartile_2,raw_hard_01,0.7158950051490914,0.27151130749412505,0.56
A,contrast_low,BBSE-S-01,quartile_2,T015_zero_hard,0.8758950051490911,0.3461227591096763,0.64
A,contrast_low,BBSE-S-01,quartile_3,raw_soft_01,0.2935137637928966,0.07624187536734484,0.2
A,contrast_low,BBSE-S-01,quartile_3,raw_hard_01,0.29825404074729867,0.12782368452693488,0.2
A,contrast_low,BBSE-S-01,quartile_3,T015_zero_hard,0.4462540407472988,0.1843149642692437,0.28
A,contrast_low,BBSE-S-01,quartile_4,raw_soft_01,0.16579450128154105,0.03158562796573433,0.44
A,contrast_low,BBSE-S-01,quartile_4,raw_hard_01,0.2750387877888808,0.11305239877511825,0.4
A,contrast_low,BBSE-S-01,quartile_4,T015_zero_hard,0.5790387877888811,0.22297440961402087,0.52
A,contrast_low,BBSE-S-11,all,raw_soft_11,0.5056832113255141,0.1448924827485393,0.41999999999999993
A,contrast_low,BBSE-S-11,all,raw_hard_11,0.5050031890671451,0.19148726647931166,0.38999999999999996
A,contrast_low,BBSE-S-11,all,T015_zero_hard,0.6910031890671449,0.26775662894477814,0.48999999999999994
A,contrast_low,BBSE-S-11,quartile_1,raw_soft_11,0.8506259959663367,0.24592578804254686,0.39999999999999997
A,contrast_low,BBSE-S-11,quartile_1,raw_hard_11,0.7308249225833097,0.2535616751210683,0.39999999999999997
A,contrast_low,BBSE-S-11,quartile_1,T015_zero_hard,0.8628249225833098,0.3176143827861716,0.52
A,contrast_low,BBSE-S-11,quartile_2,raw_soft_11,0.7127985842612804,0.22581663961853166,0.64
A,contrast_low,BBSE-S-11,quartile_2,raw_hard_11,0.7158950051490914,0.27151130749412505,0.56
A,contrast_low,BBSE-S-11,quartile_2,T015_zero_hard,0.8758950051490911,0.3461227591096763,0.64
A,contrast_low,BBSE-S-11,quartile_3,raw_soft_11,0.2935137637928966,0.07624187536734484,0.2
A,contrast_low,BBSE-S-11,quartile_3,raw_hard_11,0.29825404074729867,0.12782368452693488,0.2
A,contrast_low,BBSE-S-11,quartile_3,T015_zero_hard,0.4462540407472988,0.1843149642692437,0.28
A,contrast_low,BBSE-S-11,quartile_4,raw_soft_11,0.16579450128154105,0.03158562796573433,0.44
A,contrast_low,BBSE-S-11,quartile_4,raw_hard_11,0.2750387877888808,0.11305239877511825,0.4
A,contrast_low,BBSE-S-11,quartile_4,T015_zero_hard,0.5790387877888811,0.22297440961402087,0.52
A,gaussian_noise,BBSE-H-01,all,raw_soft_01,0.27884200407514736,0.05402903604122422,0.27
A,gaussian_noise,BBSE-H-01,all,raw_hard_01,0.24664771796969842,0.08096709853877243,0.22000000000000003
A,gaussian_noise,BBSE-H-01,all,T015_zero_hard,0.29564771796969835,0.10084794870427621,0.28
