salt,bank,target,policy,macro_class,sample_weighted,macro_client,state_choice_frequency,oracle_hit_rate,regret_median,regret_p75,regret_p90,regret_gt2_fraction,regret_gt5_fraction,gain_vs_zero_pp,capture_vs_P00,capture_vs_T014
T013-S2,A,contrast_low,class_context_only,33.77245189591778,33.85863421770065,33.59118791859695,"{""clean"": 2, ""brightness_dark"": 59, ""contrast_low"": 87, ""gaussian_noise"": 38, ""gaussian_blur"": 14}",0.865,0.0,0.0,1.420277389528007,0.085,0.035,13.817187908207263,1.0155446053910675,1.0
T013-S2,A,gaussian_noise,class_context_only,37.58505378176651,37.642130460801916,36.34486581174214,"{""clean"": 23, ""brightness_dark"": 73, ""contrast_low"": 9, ""gaussian_noise"": 86, ""gaussian_blur"": 9}",0.815,0.0,0.0,2.0640034364261166,0.11,0.045,6.9084099303062665,1.0108471388833675,1.0
T013-S2,A,gaussian_blur,class_context_only,40.037801795805386,40.095751047277076,39.68483772960376,"{""clean"": 13, ""brightness_dark"": 76, ""contrast_low"": 35, ""gaussian_noise"": 46, ""gaussian_blur"": 30}",0.83,0.0,0.0,3.9231601731601717,0.14,0.08,9.13622261963101,1.006676118375402,1.0
T013-S2,B,clean,class_context_only,40.28503902495728,40.34842742203604,39.205522866451886,"{""clean"": 27, ""brightness_dark"": 77, ""contrast_low"": 12, ""gaussian_noise"": 70, ""gaussian_blur"": 14}",0.78,0.0,0.0,2.481404958677686,0.125,0.075,6.146349105188737,1.00717443683752,1.0
T013-S2,B,brightness_dark,class_context_only,35.432163924702095,35.494381275350754,34.6350454055322,"{""clean"": 1, ""brightness_dark"": 138, ""contrast_low"": 28, ""gaussian_noise"": 25, ""gaussian_blur"": 8}",0.865,0.0,0.0,1.455205811138013,0.09,0.06,17.886137470491036,1.0050482129960943,1.0
T013-S2,B,contrast_low,class_context_only,33.64235038209941,33.72564665203804,33.140968578761516,"{""clean"": 2, ""brightness_dark"": 63, ""contrast_low"": 81, ""gaussian_noise"": 38, ""gaussian_blur"": 16}",0.86,0.0,0.0,1.4191207853179677,0.09,0.04,13.687086394388889,1.026814606310305,1.0
T013-S2,B,gaussian_noise,class_context_only,37.62616396723108,37.682026730500695,36.420627488138905,"{""clean"": 20, ""brightness_dark"": 73, ""contrast_low"": 6, ""gaussian_noise"": 89, ""gaussian_blur"": 12}",0.825,0.0,0.0,2.004081632653061,0.1,0.045,6.949520115770834,1.0056530722887738,1.0
T013-S2,B,gaussian_blur,class_context_only,40.05768457339693,40.11569918212647,39.77143288155569,"{""clean"": 10, ""brightness_dark"": 76, ""contrast_low"": 31, ""gaussian_noise"": 51, ""gaussian_blur"": 32}",0.8,0.0,0.0,2.729462135402728,0.14,0.055,9.15610539722255,1.0182835880723478,1.0
T013-S3,A,clean,class_context_only,40.4296669930239,40.494713744264914,39.39493106101177,"{""clean"": 26, ""brightness_dark"": 74, ""contrast_low"": 13, ""gaussian_noise"": 75, ""gaussian_blur"": 12}",0.795,0.0,0.0,3.311180032491506,0.135,0.075,6.290977073255364,1.0069822969678788,1.0
T013-S3,A,brightness_dark,class_context_only,35.427901298234495,35.487731897067626,34.72400630234315,"{""clean"": 3, ""brightness_dark"": 125, ""contrast_low"": 38, ""gaussian_noise"": 28, ""gaussian_blur"": 6}",0.865,0.0,0.0,1.5757415254237281,0.09,0.06,17.881874844023432,0.9968435360350335,1.0
