salt,bank,target1,target2,orientation,same_valid,same_mean,same_median,control_mean,control_min,control_max
T013-S0,B,clean,gaussian_blur,1,100,-0.045823370645177525,-0.09999999999999999,-0.0006137079447355491,-0.06492055642355969,0.032443894794181014
T013-S0,B,brightness_dark,contrast_low,0,98,-0.07552540256453025,-0.09999999999999999,0.0017575638301118384,-0.08549422554380429,0.06184461647587115
T013-S0,B,brightness_dark,contrast_low,1,99,-0.08104873947663434,-0.09999999999999999,-0.025477042890426856,-0.07797653703186634,0.05301875528186699
T013-S0,B,brightness_dark,gaussian_noise,0,98,-0.025434182210142386,0.049999999999999996,0.0302907546330839,-0.06580777067307551,0.10233604345347239
T013-S0,B,brightness_dark,gaussian_noise,1,99,-0.12776512694632747,-0.19999999999999998,0.005486555565225079,-0.16958549077998222,0.10187663068310004
T013-S0,B,brightness_dark,gaussian_blur,0,98,-0.03465715322455036,0.0,0.013553560026801373,-0.06737161264924339,0.11376042129401102
T013-S0,B,brightness_dark,gaussian_blur,1,100,-0.05155986399583041,0.0,-0.0001674817870711432,-0.06663055831188566,0.05301533972186463
T013-S0,B,contrast_low,gaussian_noise,0,99,-0.039393939393939384,0.0,-0.015756064855742574,-0.10334054120137902,0.046592723133198295
T013-S0,B,contrast_low,gaussian_noise,1,99,-0.04182700808491556,0.0,0.026962093758765043,-0.04236905450725581,0.16012030518372117
T013-S0,B,contrast_low,gaussian_blur,0,99,-0.11562067282229012,-0.09999999999999999,0.012067372869798882,-0.0940111796079449,0.0797261941294288
T013-S0,B,contrast_low,gaussian_blur,1,100,-0.06023606797749979,-0.09999999999999999,0.050258610463437145,-0.02723606797749979,0.1214164078649987
T013-S0,B,gaussian_noise,gaussian_blur,0,99,-0.13643542203218734,-0.09999999999999999,-0.010975875276279613,-0.10652976373138107,0.08383838383838382
T013-S0,B,gaussian_noise,gaussian_blur,1,100,-0.08174999999999998,-0.09999999999999999,0.017986067977499784,-0.053409830056250523,0.06894427190999912
T013-S1,A,clean,brightness_dark,0,99,-0.19200300395104555,-0.19999999999999998,-0.01988568816308156,-0.11861317827799922,0.05118494497706144
T013-S1,A,clean,brightness_dark,1,99,-0.04614006552418986,-0.09999999999999999,-0.01378972415401436,-0.06268255362626346,0.026803990334187636
T013-S1,A,clean,contrast_low,0,99,0.016337133412879526,0.0,-0.010354365884942946,-0.06690511916919169,0.0897797636477274
T013-S1,A,clean,contrast_low,1,99,-0.12103736586848263,-0.19999999999999998,-0.010713092247342838,-0.05844855964142452,0.040154372261992824
T013-S1,A,clean,gaussian_noise,0,99,-0.18734559187373687,-0.3,0.012976074473642475,-0.057042561570706654,0.10725286857323126
T013-S1,A,clean,gaussian_noise,1,99,-0.151023221389942,-0.3,0.010065759595040878,-0.131628020429315,0.16177360617425346
T013-S1,A,clean,gaussian_blur,0,99,-0.048484848484848485,-0.09999999999999999,0.02159090909090909,-0.06767676767676765,0.101010101010101
T013-S1,A,clean,gaussian_blur,1,100,-0.15648343849057292,-0.19999999999999998,0.008460466762574885,-0.05762293677894712,0.08049811430708473
T013-S1,A,brightness_dark,contrast_low,0,99,-0.1649412081489905,-0.22360679774997894,-0.004154254979481662,-0.0937075856881297,0.11497599790025176
T013-S1,A,brightness_dark,contrast_low,1,99,-0.11299319262260436,-0.09999999999999999,0.016503900085756876,-0.06793108676392288,0.14330911972685453
T013-S1,A,brightness_dark,gaussian_noise,0,99,-0.054482519294192865,-0.09999999999999999,0.007774875546244073,-0.10476240579923998,0.07735716377272854
T013-S1,A,brightness_dark,gaussian_noise,1,99,-0.14041606676734306,-0.09999999999999999,-0.00470546438945945,-0.08762764479513314,0.06515802196329876
T013-S1,A,brightness_dark,gaussian_blur,0,99,-0.07307830722979947,-0.09999999999999999,-0.01583789662768224,-0.07487334524999807,0.10641828481439361
T013-S1,A,brightness_dark,gaussian_blur,1,100,-0.10497863138246238,-0.15,-0.005248431689541739,-0.0992303715465714,0.060871375765935654
T013-S1,A,contrast_low,gaussian_noise,0,99,-0.10689518981944364,-0.19999999999999998,0.029115750978850715,-0.010276527352273478,0.09357507093434554
T013-S1,A,contrast_low,gaussian_noise,1,99,-0.010276527352273471,-0.09999999999999999,-0.01374855351262604,-0.12406690699116085,0.08710713937121192
T013-S1,A,contrast_low,gaussian_blur,0,99,-0.19037589490403994,-0.19999999999999998,0.03121667524968431,-0.013426056633839034,0.11158801611616119
T013-S1,A,contrast_low,gaussian_blur,1,100,0.04205572809000083,0.049999999999999996,0.0061987712429686734,-0.09000657780874821,0.08382623792124923
T013-S1,A,gaussian_noise,gaussian_blur,0,99,-0.10101010101010102,-0.09999999999999999,0.012752525252525248,-0.056565656565656555,0.05454545454545452
T013-S1,A,gaussian_noise,gaussian_blur,1,100,-0.21786803398874988,-0.3,-0.0036397542485937344,-0.06647213595499958,0.04823606797749979
