policy,bank,context,salt,macro_class,macro_class_exact,capture,capture_exact,delta_vs_BBSE_pp,clean_delta_vs_zero,true_template_regret,true_template_regret_exact,regret_p90,optimal_set_agreement,canonical_agreement
P,A,gaussian_blur,T013-S0,37.83236862448681,4235455026869669990554/111953207818140489775,0.7575335137347834,2327772334352092330969/3072830828138196424458,0.89613932984312,6.930789448312436,0.018999883230678905,3264667254345118345033818092465021770943953633621381744518304500580088048999346621690031676844122765141646636582318509501368525142077169101497616029327330702130377368453/171825648332074761463123994471040926129028839945987587595807905545949421212793459061464521106538861361895091609868596479137400818152127998011562861292007899376400652800000,0.06629783801485245,0.555,0.555
P,A,gaussian_blur,T013-S1,37.778627989190156,25376631542148144771833/671719246908842938650,0.7511022258547141,4619446049634309490447/6150222820039745243316,0.7894497321441666,6.877048813015776,0.018358503483926286,46619080676289621956954309273141213894843199709570311759426182171457985937583484247692560871584986197580064054064099531965102030361602739993022620889/2539372597396447199259830261101952019111511847019465421387656480302805116840370713886699258146225775365379221338049626894630464941155170292584864000000,0.06496259982923903,0.565,0.56
P,A,gaussian_blur,T013-S2,37.80677322362708,12697768618914096983654/335859623454421469325,0.7608498861862641,70278056747187252817/92367835000217686501,0.8250161559273509,6.905194047452709,0.01861224510247813,157103493897936292425751050156299601115131214159182823089085871929448245452596224419808595538047641109103006186344101698368799702011260394851575689790838776364205987476337/8440867452203211930112212517175444243165822002614341685437945926061131379265663708823324847808003470312483847543270822528251642099236097782804312768333371646704400291200000,0.06071953805974376,0.555,0.555
P,A,gaussian_blur,T013-S3,37.87194715764174,25439315823702604823267/671719246908842938650,0.7668993069473864,4682130331188769541881/6105273911155053629466,0.9700495098225572,6.970367981467364,0.017871097174483982,16170633976468247939652107312016810860105510779186650838844246424600055461362242517406092946563757352779006416169586465123219150588206667694578949/904848416333182793898564652560844002849722095521116544941521812068222502586883022236614457600845646917841412605415179549023256387419922620632000000,0.05994217611026342,0.57,0.565
P,B,clean,T013-S0,39.01635236113596,13104017412576151444036/335859623454421469325,0.7907957626585994,1638209870895436031827/2071596672935993351968,0.7265258353548757,4.877662441367421,0.013651751181850925,106838830196051913734646702132889014357494667638549620797049534791592729204381907020537066560353855249440923337478082804045419234624099207625798683128127/7826016514136799679499043074974441145189201510373262741764709507092012422572846671333252837842141422636814247462804474241416459865659094141981105728000000,0.049492032503386046,0.63,0.63
P,B,clean,T013-S1,38.95546403976405,8722378322591606574049/223906415636280979550,0.7955225221581421,3235519884413388897729/4067163146601900121861,0.8191044335974338,4.81677411999551,0.013657847972183007,136964465591262369225795840026611344320316992546237448698194428731508254553458408102362189978803240318886854700444844952347372058061/10028261104547249249775740360179584548700993904052676131494482775606283208122889426173705056897763645203496763165725410348193064000000,0.04867272452421841,0.665,0.66
P,B,clean,T013-S2,39.002725016272706,13099440537661695713411/335859623454421469325,0.7970474382823207,816816497990490150601/1024802864620922387933,0.6259911287556641,4.864035096504168,0.01377544857879653,8868679089179783541768582716020648238781796106592460208410299634558250874145715861837407294943636485269637974521674672030450151842020671/643803288034528818023673768429323247633234908006403193337458185125154371618968421456112953432945682837634362425265561008283893628912000000,0.053608780315562585,0.655,0.65
P,B,clean,T013-S3,38.9297283765989,26149847827494825916349/671719246908842938650,0.7733554267231476,3218232744133395091931/4161388971911210748786,0.5991763381545577,4.791038456830361,0.014717120416458729,74667911416412629299584068589830361766682237826236426552973511175562699053060870187582127260857620147125293174662254481017916907414481921/5073540835672486178432729564512457587188327648054930355283212763528181518602261867382115932942242694769637509964113730750098915100898400000,0.05821327558274431,0.63,0.62
P,B,brightness_dark,T013-S0,33.800153171702945,329046571505794802279/9735061549403520850,0.917828397730856,5459104878917276062913/5947849175743311063642,0.6728418747073301,16.254126717491886,0.018254374356048993,19640825503169443069548476823033997097751408398043999995254367997874452475719467455337596310891283522793135308607078220956188881/1075951720945233096076644946387107972541759136792914709173278277029293707043156287853160472591399169961807217806315238016064000000,0.04843771885995619,0.695,0.675
P,B,brightness_dark,T013-S1,33.78020166890782,493278513597121743022/14602592324105281275,0.9146259726800982,10904807949402310947587/11922696572292074619309,0.5667419463006231,16.23417521469676,0.0190245913159035,9830685567372588902599501717618911569962483037230269157568701572310197977511218427940228947933965192857078229989137090216852146717933/516735702971694376228070673052756680073165489699918996521885097118745519976905177949808398639414805639154356376699861183409179372000000,0.052109119990592104,0.685,0.675
