representation,bank,context,salt,macro_class_p05,macro_class_median,macro_class_p95,capture_p05,capture_median,capture_p95
L,B,contrast_low,T013-S3,28.1130299926525,29.530746251068166,30.573449508081694,0.6056450056985812,0.7108984256774049,0.7883103077604796
L,B,gaussian_noise,T013-S0,34.63198488852599,35.397927158474594,36.253687805272875,0.5734448670391995,0.6844910850604453,0.8085591605366037
L,B,gaussian_noise,T013-S1,34.56358673492275,35.4239289428235,36.21322478319941,0.5635193506450384,0.6882496327367758,0.8026797884583453
L,B,gaussian_noise,T013-S2,34.62963849763804,35.41693116119496,36.19819224006741,0.5720310387545128,0.685958802500342,0.7990137460272694
L,B,gaussian_noise,T013-S3,34.61448451556746,35.40670745199888,36.23928594326696,0.5697584069716897,0.6843835827290061,0.8048477242031873
L,B,gaussian_blur,T013-S0,35.9674630580737,37.15933003206497,38.01038313126818,0.5655126973780432,0.6985627086082468,0.793567123427542
L,B,gaussian_blur,T013-S1,35.97045258999371,37.134684621841814,37.988444340488876,0.5662603464498878,0.6963204958915785,0.7916967727478931
L,B,gaussian_blur,T013-S2,35.933689970654136,37.159245354331794,38.03657616507727,0.5596392366709552,0.6959376822798528,0.7935088140148949
L,B,gaussian_blur,T013-S3,35.95235069026342,37.18095875459303,38.07534548847408,0.5604584710589635,0.69679087004872,0.7960364249125897
H,A,clean,T013-S0,37.76182015432804,38.537021289326326,39.18137966912821,0.5914043915904849,0.7179406533099447,0.8231194216407212
H,A,clean,T013-S1,37.72920885673817,38.51790816834091,39.22784423822954,0.5830008056486019,0.7110637241711744,0.826337674251882
H,A,clean,T013-S2,37.74233275082202,38.53545410571863,39.2089759445648,0.5850502685186919,0.7138132684618674,0.8231593249785067
H,A,clean,T013-S3,37.70980695872161,38.54273200153076,39.1928292451987,0.5716205283776775,0.7049449330040662,0.8090045104048905
H,A,brightness_dark,T013-S0,33.379796444637854,34.094233482070415,34.68665020822052,0.8829930255927689,0.922834637644701,0.9558716110093078
H,A,brightness_dark,T013-S1,33.28436020059313,34.11849807579445,34.71744195072028,0.8780228746584562,0.9245584321607954,0.9579727968131105
H,A,brightness_dark,T013-S2,33.33964487063135,34.119061060500385,34.689106708013284,0.8807594715730275,0.9242250140107755,0.9560146324527385
H,A,brightness_dark,T013-S3,33.38818947259336,34.12036140456284,34.68353855414811,0.8831376988954704,0.9239533775654282,0.9553482679839984
H,A,contrast_low,T013-S0,29.013683297999467,30.243146204118684,31.305304058280058,0.6688287526593406,0.7596061955854636,0.8380306632979672
H,A,contrast_low,T013-S1,28.937535635833225,30.292505535102322,31.385857762943854,0.6641636227745281,0.76435227797258,0.8451965014673792
H,A,contrast_low,T013-S2,28.948845932822937,30.16770253345441,31.30046253931819,0.6610160973548233,0.7506004073996583,0.8338567342875925
H,A,contrast_low,T013-S3,28.97003466313145,30.248840412026684,31.351593416934865,0.6636334605592924,0.7577743228261893,0.838954845230904
H,A,gaussian_noise,T013-S0,34.67488481623033,35.62253081774547,36.313804804240974,0.5843417002569407,0.7228398749908613,0.8238693577487629
H,A,gaussian_noise,T013-S1,34.59880736229567,35.58519794102324,36.312773603512994,0.5705004995025706,0.7139764959300732,0.8198064231448897
H,A,gaussian_noise,T013-S2,34.58738462252822,35.59284806957329,36.3350005285985,0.5722244567460605,0.7193451196700484,0.8279377911225421
H,A,gaussian_noise,T013-S3,34.69399305648835,35.56440275905464,36.332032164084545,0.5860067661163394,0.7129725709208501,0.8249459150987406
H,A,gaussian_blur,T013-S0,36.5333485800704,37.39669116416937,38.326012644607204,0.6155509551824846,0.7099140787727698,0.8114886788548286
H,A,gaussian_blur,T013-S1,36.57526580163862,37.42266489656899,38.277660554622315,0.619672590533718,0.7122244050831269,0.8056059062649331
H,A,gaussian_blur,T013-S2,36.64774048918496,37.43232064769524,38.31222580653921,0.6331416830530366,0.7195907705376612,0.816543258094199
H,A,gaussian_blur,T013-S3,36.58361576360194,37.38526530348523,38.33887966694907,0.625153497280722,0.7133532133051498,0.8182725226414607
H,B,clean,T013-S0,37.71829667125488,38.61168671483796,39.24307878663329,0.5803472226884845,0.7251889515615508,0.8275540046897463
H,B,clean,T013-S1,37.707793336713586,38.56226937871749,39.20682372014561,0.5894613451572881,0.7305837891674466,0.8370362576841474
H,B,clean,T013-S2,37.681607919743186,38.56085368966676,39.187094449482736,0.5805619531721018,0.7246399819350579,0.8272592236666885
H,B,clean,T013-S3,37.74289145034123,38.60481997609556,39.26477870289737,0.5817796784115771,0.7209096622023119,0.8274382712678153
H,B,brightness_dark,T013-S0,33.27635232378314,34.13211505617383,34.66886287793151,0.8882507217761747,0.93657342475244,0.9668821827553669
H,B,brightness_dark,T013-S1,33.350712659730576,34.09684381878109,34.64757500942329,0.890428759235061,0.9324654459203015,0.9634933881634269
H,B,brightness_dark,T013-S2,33.269567260698636,34.10069527047781,34.607000533237304,0.883528744850783,0.9302310427827816,0.9586810756871179
H,B,brightness_dark,T013-S3,33.28496754428636,34.12910676778617,34.61045373845449,0.8877312902165134,0.9353436929640138,0.9624933445744802
H,B,contrast_low,T013-S0,28.391449042412386,29.832293512932758,31.14098078536106,0.6291268663660393,0.7365775636636404,0.8341726635123636
H,B,contrast_low,T013-S1,28.482751257628752,29.83671383186085,31.10079733699103,0.6452463572890579,0.7476961635773469,0.8433451221951713
H,B,contrast_low,T013-S2,28.556955416904454,29.927386352260314,31.042787516209017,0.6453047890522099,0.7481154575038806,0.8317936176349929
H,B,contrast_low,T013-S3,28.480724090800944,29.909850873513765,31.043482849383047,0.6329431770402871,0.7390437317676175,0.8232063007931957
H,B,gaussian_noise,T013-S0,34.7103480987758,35.46439344545493,36.1697968974438,0.5848059558205113,0.6941273593394139,0.7963966668261929
H,B,gaussian_noise,T013-S1,34.71327855094557,35.47475137968628,36.174208506606455,0.5852212993206791,0.6956177437375726,0.7970233053276584
H,B,gaussian_noise,T013-S2,34.71824258367602,35.48976238149206,36.17603268694732,0.584852783257306,0.6964980828003025,0.7958070753069144
H,B,gaussian_noise,T013-S3,34.724587390063384,35.457066633811806,36.17360850761829,0.5856889749470761,0.691669953522945,0.7953449854432747
H,B,gaussian_blur,T013-S0,36.39057730479781,37.429474470041455,38.184322751092324,0.6127456155700648,0.7287193630763082,0.8129842806069894
