pool,target,context,layer,mse_before,mse_after,restoration_ratio,gamma_abs_mean,gamma_abs_max,beta_abs_mean,beta_abs_max,cap_fraction,negative_scale_fraction,minimum_source_variance,nonfinite_count
A,brightness_dark,noise_source,1,0.1983501480983024,0.09699099871417773,0.48898878898799186,0.9944256544113159,1.011589765548706,0.24987582862377167,0.6044434905052185,0.0,0.34375,0.041839198941784964,0
A,brightness_dark,noise_source,2,0.2022070925755334,0.173389089573796,0.8574827290443703,1.2143597602844238,5.853725433349609,0.8203089833259583,7.558825969696045,0.0,0.140625,0.0,0
A,contrast_low,correct_pair,1,0.048979481560775376,0.024561409525482386,0.5014632401734544,0.8089842796325684,1.9819605350494385,0.042711272835731506,0.12058831006288528,0.0,0.0,0.0014381489519114162,0
A,contrast_low,correct_pair,2,0.05376843548722806,0.047167765818695064,0.8772389486746198,0.13833248615264893,0.7801026701927185,0.09039583802223206,0.33138135075569153,0.0,0.0,0.0,0
A,contrast_low,same_class_derangement,1,0.1348233552222256,0.09656215131893557,0.7162123443655207,0.9079728126525879,1.0792120695114136,0.23813879489898682,0.6116447448730469,0.0,0.21875,0.0014381489519114162,0
A,contrast_low,same_class_derangement,2,0.19980748701132714,0.17190846562336812,0.8603704905893871,0.5508685111999512,1.8467133045196533,0.342451810836792,2.0565826892852783,0.0,0.046875,0.0,0
A,contrast_low,cross_class_derangement,1,0.13552541422445502,0.09676401772841253,0.7139916766323512,0.9217103719711304,1.0565553903579712,0.2438979148864746,0.6456509828567505,0.0,0.15625,0.0014381489519114162,0
A,contrast_low,cross_class_derangement,2,0.1994119276742131,0.17042567466683511,0.854641327901238,1.084189534187317,3.486161231994629,0.5457392334938049,2.475034236907959,0.0,0.078125,0.0,0
A,contrast_low,wrong_alt_source,1,0.013120996822181713,0.00848141013664676,0.6463998316277697,0.21941925585269928,0.8999230861663818,0.02273462526500225,0.03965692222118378,0.0,0.0,0.0026139479303923445,0
A,contrast_low,wrong_alt_source,2,0.01173277394811143,0.010589424577236273,0.9025508054675172,0.03323971480131149,0.2995830476284027,0.03442389518022537,0.08507782965898514,0.0,0.0,6.123401132838003e-07,0
A,contrast_low,noise_source,1,0.1983501480983024,0.09699099871417773,0.48898878898799186,0.9944256544113159,1.011589765548706,0.24987582862377167,0.6044434905052185,0.0,0.34375,0.041839198941784964,0
A,contrast_low,noise_source,2,0.2022070925755334,0.173389089573796,0.8574827290443703,1.2143597602844238,5.853725433349609,0.8203089833259583,7.558825969696045,0.0,0.140625,0.0,0
A,gaussian_noise,correct_pair,1,0.02408751410442048,0.013566172233003382,0.5632034992981593,0.22971761226654053,0.48493674397468567,0.020030124112963676,0.04329594969749451,0.0,0.0,0.023615549065340583,0
A,gaussian_noise,correct_pair,2,0.013503634881442496,0.010794629611080518,0.7993869580934201,0.11213560402393341,0.27933821082115173,0.07923579961061478,0.3414275050163269,0.0,0.0,2.66515591730074e-06,0
A,gaussian_noise,same_class_derangement,1,0.20893761918533513,0.09680563129106609,0.46332312806338644,0.9755574464797974,1.0297954082489014,0.24344506859779358,0.619059681892395,0.0,0.1875,0.023615549065340583,0
