client,bank,true_context,selected,second,best_score,second_score,score_margin,zero_improvement,true_rank,J_clean,J_brightness_dark,J_contrast_low,J_gaussian_noise,J_gaussian_blur
9,A,clean,clean,gaussian_noise,8.60232053622564,19.455355242629462,10.853034706403822,0.0,1,8.60232053622564,9703.97691375473,284.29910742147933,19.455355242629462,45.205378413852934
9,B,clean,clean,gaussian_noise,8.317098733101956,18.196215299954737,9.879116566852781,0.0,1,8.317098733101956,6944.778073395628,304.78609467480857,18.196215299954737,51.411402622865175
9,A,brightness_dark,brightness_dark,contrast_low,124.47390648082656,233.568560573259,109.09465409243244,141.4318653821736,1,265.90577186300015,124.47390648082656,233.568560573259,319.5397308982204,235.61295937076852
9,B,brightness_dark,brightness_dark,gaussian_blur,127.72242324157665,235.01046149893452,107.28803825735787,139.70317998281368,1,267.42560322439033,127.72242324157665,240.97345558480941,320.5327287167659,235.01046149893452
9,A,contrast_low,contrast_low,gaussian_blur,16.202117257141047,41.01998688607631,24.817869628935263,70.54129555442702,1,86.74341281156808,3479.7210625673406,16.202117257141047,154.38068780510764,41.01998688607631
9,B,contrast_low,contrast_low,gaussian_blur,11.55003683767992,38.81825173878819,27.268214901108273,74.98062637458274,1,86.53066321226267,2241.7726098460016,11.55003683767992,152.21289610837272,38.81825173878819
9,A,gaussian_noise,gaussian_noise,clean,7.927389299872022,31.642722260171702,23.71533296029968,23.71533296029968,1,31.642722260171702,7580.100287671283,515.6053187957102,7.927389299872022,121.09127598012851
9,B,gaussian_noise,gaussian_noise,clean,7.904531938298653,33.79359594957852,25.889064011279864,25.889064011279864,1,33.79359594957852,4677.021024442415,573.4951631998907,7.904531938298653,136.67637268692084
9,A,gaussian_blur,gaussian_blur,clean,10.672632149670015,20.902329877157793,10.229697727487778,10.229697727487778,1,20.902329877157793,6939.578448944689,90.43271120673676,58.65469143739848,10.672632149670015
9,B,gaussian_blur,gaussian_blur,clean,10.945063946306878,20.66546480813532,9.720400861828441,9.720400861828441,1,20.66546480813532,5262.872254336103,84.0917166570022,56.87230644128368,10.945063946306878
10,A,clean,clean,gaussian_blur,6.579741374999619,10.450551054175687,3.8708096791760678,0.0,1,6.579741374999619,5104.410781121803,122.05256895457964,34.63617347617169,10.450551054175687
10,B,clean,clean,gaussian_blur,6.066977876977225,12.325631009551508,6.258653132574283,0.0,1,6.066977876977225,3539.1934633016117,134.75101177842743,33.145784271509456,12.325631009551508
10,A,brightness_dark,brightness_dark,contrast_low,155.2813952761937,282.37780925783875,127.09641398164504,178.30022501603545,1,333.58162029222916,155.2813952761937,282.37780925783875,396.6820089888332,293.8619016344681
10,B,brightness_dark,brightness_dark,contrast_low,157.7065075556701,283.30577745565506,125.59926989998496,177.46391173067025,1,335.17041928634035,157.7065075556701,283.30577745565506,397.404265040178,291.9968222381182
10,A,contrast_low,contrast_low,gaussian_blur,10.849640231045111,59.13441530717371,48.2847750761286,101.68070243941673,1,112.53034267046185,1391.0689491999105,10.849640231045111,189.36717000189105,59.13441530717371
10,B,contrast_low,contrast_low,gaussian_blur,13.217843278589408,57.81751171704974,44.599668438460334,100.51595204558508,1,113.7337953241745,817.5558005923938,13.217843278589408,188.58217554537669,57.81751171704974
10,A,gaussian_noise,gaussian_noise,clean,7.035082131793142,20.487800412466086,13.452718280672944,13.452718280672944,1,20.487800412466086,4476.243383081306,357.86956576196053,7.035082131793142,83.26269336702634
10,B,gaussian_noise,gaussian_noise,clean,6.683685023549929,21.223339629560243,14.539654606010314,14.539654606010314,1,21.223339629560243,2726.3371418785755,404.24813522955026,6.683685023549929,93.96580016152927
10,A,gaussian_blur,gaussian_blur,contrast_low,7.9692688936163005,24.432714577720837,16.463445684104535,26.370988909697573,1,34.340257803313875,3131.7087887875396,24.432714577720837,84.01437001585387,7.9692688936163005
10,B,gaussian_blur,gaussian_blur,contrast_low,7.805610843989026,24.423353896098142,16.617743052109116,27.258205927938082,1,35.06381677192711,2309.2807652574947,24.423353896098142,83.57546998916942,7.805610843989026
11,A,clean,clean,gaussian_blur,5.344752746939032,10.600669872781227,5.255917125842195,0.0,1,5.344752746939032,4642.733523796807,129.35306819598992,33.34287009598482,10.600669872781227
11,B,clean,clean,gaussian_blur,6.289743418976065,13.858705695724137,7.5689622767480715,0.0,1,6.289743418976065,3302.9807774131486,140.57668720341894,33.504653314304115,13.858705695724137
11,A,brightness_dark,brightness_dark,contrast_low,171.39094098060465,290.1639865231435,118.77304554253882,168.5544970723379,1,339.94543805294256,171.39094098060465,290.1639865231435,403.2985282553039,299.48909882759875
11,B,brightness_dark,brightness_dark,contrast_low,174.85216736773302,294.77420439740115,119.92203702966813,167.37317271376665,1,342.22534008149967,174.85216736773302,294.77420439740115,404.0749337376186,298.52858529368615
11,A,contrast_low,contrast_low,gaussian_blur,15.137715907400363,56.7348499873605,41.597134079960135,94.49524411911413,1,109.6329600265145,1155.0173167973776,15.137715907400363,185.8463098200926,56.7348499873605
