client,bank,context,ROT_SCORE,direction_errors,direction_ranks,current_state,current_tie_mask,clean_surrogate_state,clean_surrogate_tie_mask
50,B,brightness_dark,"[0.5115334994516827, 0.46079143112864407, 0.46456295796531244, 0.499831591112404, 0.4933317893353769]","[[0.3648187978734799, 0.6582482010298853], [0.33084204507875264, 0.5907408171785354], [0.3422566003403773, 0.5868693155902476], [0.3405278972208542, 0.6591352850039538], [0.33730786552408176, 0.6493557131466721]]","[[40, 40], [40, 40], [40, 40], [40, 40], [40, 40]]",1,2,2,4
50,B,contrast_low,"[0.8967101579854648, 0.5759321990416209, 0.7636997068992413, 1.121527996201229, 0.841556868651486]","[[0.8068153042518856, 0.986605011719044], [0.29548709397875994, 0.8563773041044819], [0.517132370238161, 1.0102670435603216], [1.132517148078954, 1.110538844323504], [0.4936155993604302, 1.1894981379425418]]","[[40, 40], [40, 40], [40, 40], [40, 40], [40, 40]]",1,2,2,4
50,B,gaussian_noise,"[0.4412964653502569, 0.4438186299960512, 0.3825656585925155, 0.4379323350733599, 0.4380096322432834]","[[0.3051388605755345, 0.5774540701249793], [0.2703209437142169, 0.6173163162778855], [0.2920490934734842, 0.47308222371154685], [0.29421773949498975, 0.58164693065173], [0.3186476110224742, 0.5573716534640926]]","[[40, 40], [40, 40], [40, 40], [40, 40], [40, 40]]",2,4,2,4
50,B,gaussian_blur,"[0.571581057555584, 0.6228717343278805, 0.5302184500507894, 0.5541899729910532, 0.5803884510070393]","[[0.4118431252561887, 0.7313189898549792], [0.320102261308383, 0.9256412073473779], [0.4058776074843314, 0.6545592926172473], [0.39469407574317505, 0.7136858702389314], [0.4215640967501102, 0.7392128052639684]]","[[40, 40], [40, 40], [40, 40], [40, 40], [40, 40]]",2,4,2,4
51,A,clean,"[0.14602146446291703, 0.14347280491444409, 0.14362761798405116, 0.1454054208596153, 0.14909614096525126]","[[0.13417240163055846, 0.15787052729527556], [0.12855460410781308, 0.15839100572107512], [0.13579472283436095, 0.15146051313374137], [0.141866306231662, 0.1489445354875686], [0.1374721570008414, 0.16072012492966112]]","[[40, 40], [40, 40], [40, 40], [40, 40], [40, 40]]",1,2,1,2
51,A,brightness_dark,"[0.1642014717722628, 0.16548345341656867, 0.154013758270459, 0.16212033669872716, 0.16151122702182785]","[[0.155905926674964, 0.17249701686956162], [0.16903782999976663, 0.16192907683337068], [0.1522708872247149, 0.1557566293162031], [0.15790409042271164, 0.16633658297474269], [0.15317465808747627, 0.1698477959561794]]","[[40, 40], [40, 40], [40, 40], [40, 40], [40, 40]]",2,4,1,2
51,A,contrast_low,"[0.22636648908158985, 0.22178648249160565, 0.2040777275608261, 0.21969697614644224, 0.21596828201382035]","[[0.20952640030484773, 0.24320657785833194], [0.18932039773422166, 0.25425256724898965], [0.19736833609801635, 0.21078711902363584], [0.2249511538379844, 0.21444279845490005], [0.2083592230073827, 0.22357734102025803]]","[[40, 40], [40, 40], [40, 40], [40, 40], [40, 40]]",2,4,1,2
51,A,gaussian_noise,"[0.1461812055076936, 0.12591888274101165, 0.14364213709573448, 0.14616303630598468, 0.14788531746141495]","[[0.1472648488700719, 0.1450975621453153], [0.1312256779611657, 0.12061208752085759], [0.1425637389762957, 0.14472053521517328], [0.14581282012101535, 0.146513252490954], [0.14782019989438816, 0.14795043502844174]]","[[40, 40], [40, 40], [40, 40], [40, 40], [40, 40]]",1,2,1,2
51,A,gaussian_blur,"[0.1443156398835851, 0.13938771673764314, 0.15179601196250245, 0.13091468210757995, 0.152571184725325]","[[0.1350412030123411, 0.1535900767548291], [0.1223146651145343, 0.15646076836075196], [0.1403201343055951, 0.1632718896194098], [0.12966038019589285, 0.13216898401926708], [0.1415266343999115, 0.16361573505073845]]","[[40, 40], [40, 40], [40, 40], [40, 40], [40, 40]]",3,8,1,2
51,B,clean,"[0.14602146446291703, 0.14167299731272726, 0.14221897307891018, 0.14632710554628553, 0.15027004436772157]","[[0.13417240163055846, 0.15787052729527556], [0.12823749383385757, 0.1551085007915969], [0.13542638470063986, 0.14901156145718047], [0.14141405407208385, 0.15124015702048718], [0.1392091867604804, 0.1613309019749627]]","[[40, 40], [40, 40], [40, 40], [40, 40], [40, 40]]",1,2,1,2
51,B,brightness_dark,"[0.1642014717722628, 0.16791080627076493, 0.15572652911747065, 0.16282977965268902, 0.16214060155800092]","[[0.155905926674964, 0.17249701686956162], [0.17232299675724133, 0.16349861578428854], [0.1556799776941309, 0.15577308054081043], [0.1564522659851728, 0.16920729332020523], [0.15407987272389362, 0.17020133039210825]]","[[40, 40], [40, 40], [40, 40], [40, 40], [40, 40]]",2,4,1,2
51,B,contrast_low,"[0.22636648908158985, 0.22095662352059287, 0.2007751654778621, 0.2204508063949676, 0.21596711221063447]","[[0.20952640030484773, 0.24320657785833194], [0.18704181914830775, 0.254871427892878], [0.19886898507699804, 0.20268134587872613], [0.2195777866967103, 0.22132382609322496], [0.20913254710960832, 0.22280167731166062]]","[[40, 40], [40, 40], [40, 40], [40, 40], [40, 40]]",2,4,1,2
51,B,gaussian_noise,"[0.1461812055076936, 0.1255457528439848, 0.14180550116723478, 0.1464345892944326, 0.14794939911354485]","[[0.1472648488700719, 0.1450975621453153], [0.13194871916253043, 0.11914278652543919], [0.1398576331088252, 0.14375336922564436], [0.14611059881446925, 0.1467585797743959], [0.148118195640109, 0.1477806025869807]]","[[40, 40], [40, 40], [40, 40], [40, 40], [40, 40]]",1,2,1,2
51,B,gaussian_blur,"[0.1443156398835851, 0.1372345410475297, 0.15422362380520235, 0.1313817501054828, 0.15402805287944293]","[[0.1350412030123411, 0.1535900767548291], [0.12100547861000573, 0.15346360348505364], [0.14409124543263452, 0.1643560021777702], [0.12930942299313875, 0.1334540772178269], [0.14388558177288907, 0.1641705239859968]]","[[40, 40], [40, 40], [40, 40], [40, 40], [40, 40]]",3,8,1,2
52,A,clean,"[0.5943712639644526, 0.5218945893024913, 0.5539882262144831, 0.6030480374142997, 0.5849031684351262]","[[0.7125196052600667, 0.4762229226688384], [0.5461674988538568, 0.4976216797511257], [0.6843669072427214, 0.4236095451862446], [0.705236642734729, 0.5008594320938704], [0.7213851173566516, 0.448421219513601]]","[[40, 40], [40, 40], [40, 40], [40, 40], [40, 40]]",1,2,1,2
52,A,brightness_dark,"[0.5013999087886264, 0.5318763284686987, 0.47783981883696186, 0.49252114320214335, 0.4874627119400678]","[[0.53724804739072, 0.4655517701865328], [0.6497200829131933, 0.41403257402420407], [0.5657153655516056, 0.3899642721223181], [0.5172701832892693, 0.4677721031150174], [0.5582004649762797, 0.41672495890385586]]","[[40, 40], [40, 40], [40, 40], [40, 40], [40, 40]]",2,4,1,2
52,A,contrast_low,"[0.597887852575268, 0.496272589124451, 0.6455340991036675, 0.6081144803736027, 0.6306517785055337]","[[0.687649725290585, 0.5081259798599509], [0.5299041923825349, 0.46264098586636704], [0.7738296064282831, 0.517238591779052], [0.6799621054058969, 0.5362668553413086], [0.7299099843546488, 0.5313935726564185]]","[[40, 40], [40, 40], [40, 40], [40, 40], [40, 40]]",1,2,1,2
