client,bank,context,salt,valid_positive_P00_gain,P00_gain_contribution_exact,actual_macro_contribution_exact,capture_deficit_actual,capture_deficit_null_median,capture_deficit_null_p95,capture_deficit_percentile,capture_deficit_above_p95
12,A,clean,T013-S2,True,15429575/193044358,4233863801/13320060702,0.0,0.0,0.9990226561651893,0.8046875,False
13,A,clean,T013-S2,True,30/299,9299/22425,0.0,0.0,0.06666666666666665,0.640625,False
14,A,clean,T013-S2,True,30/503,49852/150397,0.0,0.0,0.0,1.0,False
15,A,clean,T013-S2,True,5/746,10/373,-3.0,-3.0,0.0,0.671875,False
16,A,clean,T013-S2,False,0,10619558/114295441,,,,,
17,A,clean,T013-S2,False,-11932/224549,73374/224549,,,,,
18,A,clean,T013-S2,False,0,5/758,,,,,
19,A,clean,T013-S2,True,2379500/71870149,21896795/71870149,0.0,0.0,0.0,1.0,False
20,A,clean,T013-S2,False,0,1190/1527,,,,,
21,A,clean,T013-S2,True,5/373,5/373,0.0,0.0,1.0,0.9296875,False
22,A,clean,T013-S2,False,-18248/451191,108172/150397,,,,,
23,A,clean,T013-S2,True,16985620/429505161,49384985/143168387,1.341345502842993,0.0,0.0,0.984375,True
24,A,clean,T013-S2,True,8468853/182298350,21623/650325,1.1396931450038073,1.0,1.1396931450038073,0.9921875,False
25,A,clean,T013-S2,False,-4/299,9860211/114000926,,,,,
26,A,clean,T013-S2,False,0,214454/152191,,,,,
27,A,clean,T013-S2,True,58/299,362/299,0.3103448275862069,0.0,0.31034482758620685,1.0,True
28,A,clean,T013-S2,False,-7495/561678,282619/7020975,,,,,
29,A,clean,T013-S2,True,174/299,58/23,0.0,0.0,0.25287356321839083,0.8984375,False
30,A,clean,T013-S2,True,7071/25150,1353/2515,1.0,0.0,0.5040305473058972,1.0,True
31,A,clean,T013-S2,True,105595/1133259,318079288/338844441,0.0,0.0,0.7856432596240353,0.921875,False
32,A,clean,T013-S2,True,1565208149/21475258050,4991860054/10737629025,0.0,0.0,0.17447200650243766,0.9453125,False
33,A,clean,T013-S2,False,-7325/280839,61195/187226,,,,,
34,A,clean,T013-S2,True,20/1509,634556555/3653249263,0.0,1.0,3.5091093117408905,0.3125,False
35,A,clean,T013-S2,False,0,172212/224549,,,,,
36,A,clean,T013-S2,True,5/754,231/17342,1.9875573018991486,0.0,1.9875573018991486,1.0,False
37,A,clean,T013-S2,True,22998415/576828831,103020260/576828831,0.0,1.0,3.820484150755606,0.3984375,False
38,A,clean,T013-S2,False,-5/751,80/751,,,,,
39,A,clean,T013-S2,True,40/503,940/1509,0.0,0.0,0.0,0.9921875,False
40,A,clean,T013-S2,False,0,10769/537225,,,,,
41,A,clean,T013-S2,True,173528/12799293,564271/6459297,-0.4951941709102264,-0.002028491079249406,1.4885669983501784,0.0,False
42,A,clean,T013-S2,True,162923/13153953,409749175/342002778,1.0,0.4950243130426407,6.767639408706048,0.8515625,False
43,A,clean,T013-S2,True,16815/282734,42925/282734,0.0,0.0,0.0,0.9765625,False
44,A,clean,T013-S2,True,5/758,144815/1146777,-1.018641810918775,0.0,4.027962716378163,0.125,False
