salt,client,half,n,normalized_entropy,max_class_fraction,represented_classes,halves_histogram_L1,halves_histogram_JS
T013-S1,5,1,79,0.44541961276858344,0.4810126582278481,3,0.20253164556962025,0.00632284757430579
T013-S1,6,0,131,0.3523054654492577,0.5725190839694656,3,0.12906635349383436,0.002733272504292006
T013-S1,6,1,130,0.34069536372937853,0.5230769230769231,3,0.12906635349383436,0.002733272504292006
T013-S1,7,0,99,0.18471773080933498,0.8484848484848485,2,0.023500309214594894,0.00013016028562301551
T013-S1,7,1,98,0.1932806102031115,0.8367346938775511,2,0.023500309214594894,0.00013016028562301551
T013-S1,8,0,97,0.2802977841238818,0.7731958762886598,4,0.07903780068728516,0.006030107908693849
T013-S1,8,1,96,0.26752130906928934,0.7916666666666666,3,0.07903780068728516,0.006030107908693849
T013-S1,9,0,88,0.2065072969985761,0.8636363636363636,4,0.1363636363636364,0.011228055483463839
T013-S1,9,1,88,0.26167363521974085,0.8068181818181818,4,0.1363636363636364,0.011228055483463839
T013-S1,10,0,141,0.46288915221368204,0.5531914893617021,4,0.08510638297872349,0.001811149438489812
T013-S1,10,1,141,0.4927229262045702,0.5106382978723404,4,0.08510638297872349,0.001811149438489812
T013-S1,11,0,90,0.3163146081452786,0.5888888888888889,3,0.0666666666666667,0.004291084141907708
T013-S1,11,1,90,0.2971580799390112,0.5666666666666667,2,0.0666666666666667,0.004291084141907708
T013-S1,12,0,82,0.3112721351171526,0.7804878048780488,4,0.19512195121951212,0.024394688342558757
T013-S1,12,1,82,0.23719620296666083,0.8414634146341463,4,0.19512195121951212,0.024394688342558757
T013-S1,13,0,40,0.323099333960424,0.775,4,0.10000000000000002,0.003956738292102191
T013-S1,13,1,40,0.3466418006134169,0.75,4,0.10000000000000002,0.003956738292102191
T013-S1,14,0,36,-0.0,1.0,1,0.1142857142857143,0.02022443382491776
T013-S1,14,1,35,0.09512461557032566,0.9428571428571428,2,0.1142857142857143,0.02022443382491776
T013-S1,15,0,118,-0.0,1.0,1,0.033898305084745714,0.005910345227676694
T013-S1,15,1,118,0.037312628139595655,0.9830508474576272,2,0.033898305084745714,0.005910345227676694
T013-S1,16,0,11,0.44887029684661045,0.6363636363636364,4,0.3454545454545455,0.04231040451735235
T013-S1,16,1,10,0.2775280104064451,0.8,3,0.3454545454545455,0.04231040451735235
T013-S1,17,0,44,0.22003076427678808,0.7954545454545454,2,0.10253699788583506,0.001857236731012346
T013-S1,17,1,43,0.2469540638824361,0.7441860465116279,2,0.10253699788583506,0.001857236731012346
T013-S1,18,0,5,0.21732201127364886,0.8,2,0.0,0.0
T013-S1,18,1,5,0.21732201127364886,0.8,2,0.0,0.0
T013-S1,19,0,46,0.482058882010698,0.5869565217391305,4,0.29855072463768106,0.03717937622187584
T013-S1,19,1,45,0.33212862442925456,0.7333333333333333,3,0.29855072463768106,0.03717937622187584
T013-S1,20,0,76,-0.0,1.0,1,0.0,0.0
T013-S1,20,1,76,-0.0,1.0,1,0.0,0.0
