client,bank,context,max_error,objective,iterations
27,B,contrast_low,8.881784197001252e-16,7.180258037195569e-32,1
27,B,gaussian_noise,5.551115123125783e-16,2.810353086036312e-32,1
27,B,gaussian_blur,1.1102230246251565e-15,2.2097789162689953e-31,1
28,A,clean,9.159339953157541e-16,8.98115299847454e-33,1
28,A,brightness_dark,2.1094237467877974e-15,3.601488996004131e-32,1
28,A,contrast_low,9.159339953157541e-16,5.916366511191445e-32,1
28,A,gaussian_noise,7.494005416219807e-16,1.2471901022676405e-32,1
28,A,gaussian_blur,1.1379786002407855e-15,1.2098752095951378e-32,1
28,B,clean,9.159339953157541e-16,8.98115299847454e-33,1
28,B,brightness_dark,1.0547118733938987e-15,2.519507571778458e-32,1
28,B,contrast_low,1.3322676295501878e-15,3.659266894335748e-33,1
28,B,gaussian_noise,9.43689570931383e-16,2.2163240688143738e-33,1
28,B,gaussian_blur,6.661338147750939e-16,5.2301035052265874e-33,1
29,A,clean,8.881784197001252e-16,1.3398303418582046e-31,1
29,A,brightness_dark,6.661338147750939e-16,6.352710014216679e-32,1
29,A,contrast_low,1.2212453270876722e-15,1.865639309331301e-31,1
29,A,gaussian_noise,1.1102230246251565e-16,6.721194579357643e-33,1
29,A,gaussian_blur,1.3322676295501878e-15,1.2263057994331914e-31,1
29,B,clean,8.881784197001252e-16,1.3398303418582046e-31,1
29,B,brightness_dark,1.2212453270876722e-15,1.1411210152132825e-31,1
29,B,contrast_low,4.440892098500626e-16,1.1208009496672281e-32,1
29,B,gaussian_noise,3.765055838242626e-16,3.41927796767187e-32,1
29,B,gaussian_blur,4.440892098500626e-16,8.388327687467844e-33,1
30,A,clean,1.887379141862766e-15,4.5593758326021967e-32,1
30,A,brightness_dark,1.4988010832439613e-15,3.0563605437764e-32,1
30,A,contrast_low,9.992007221626409e-16,9.467149382878506e-33,1
30,A,gaussian_noise,1.1102230246251565e-15,3.710424408483534e-32,1
30,A,gaussian_blur,4.3021142204224816e-16,7.49307118988159e-33,1
