salt,bank,target,policy,zero,accuracy,gain_pp,capture_vs_P00,capture_vs_T014_class_context
T013-S1,A,clean,P01,34.13868991976854,36.32053687622877,2.181846956460232,0.35427150106937993,0.3482559837641241
T013-S1,A,clean,P10,34.13868991976854,40.167326837001234,6.028636917232693,0.9788836213953916,0.962262212824392
T013-S1,A,clean,P11,34.13868991976854,35.46339332775654,1.3247034079880036,0.2150951346198086,0.2114428269950742
T013-S1,A,clean,zero_soft,34.13868991976854,35.63591452494994,1.4972246051813969,0.2431077976138933,0.23897983598227843
T013-S1,A,clean,zero_hard,34.13868991976854,35.76646892347847,1.627779003709932,0.26430621512936914,0.2598183051332274
T013-S1,A,clean,uniform,34.13868991976854,34.32098622560271,0.18229630583417034,0.029599869833240255,0.029097265111500847
T013-S1,A,brightness_dark,P00,17.54602645421106,35.47076873669903,17.924742282487973,1.0,1.0008984693637835
T013-S1,A,brightness_dark,P01,17.54602645421106,32.296535703287994,14.75050924907693,0.8229133237518184,0.8236526861622586
T013-S1,A,brightness_dark,P10,17.54602645421106,35.47076873669903,17.924742282487973,1.0,1.0008984693637835
T013-S1,A,brightness_dark,P11,17.54602645421106,32.296535703287994,14.75050924907693,0.8229133237518184,0.8236526861622586
T013-S1,A,brightness_dark,zero_soft,17.54602645421106,30.447219549844295,12.901193095633234,0.7197421805186778,0.7203888468176965
T013-S1,A,brightness_dark,zero_hard,17.54602645421106,22.20053110446495,4.654504650253889,0.25966926480171626,0.2599025696808568
T013-S1,A,brightness_dark,uniform,17.54602645421106,32.296535703287994,14.75050924907693,0.8229133237518184,0.8236526861622586
T013-S1,A,contrast_low,P00,19.95526398771052,33.479448902565494,13.524184914854976,1.0,0.9786631542404921
T013-S1,A,contrast_low,P01,19.95526398771052,28.561473420506015,8.606209432795497,0.6363569772949813,0.6227791266224516
T013-S1,A,contrast_low,P10,19.95526398771052,33.479448902565494,13.524184914854976,1.0,0.9786631542404921
T013-S1,A,contrast_low,P11,19.95526398771052,28.561473420506015,8.606209432795497,0.6363569772949813,0.6227791266224516
T013-S1,A,contrast_low,zero_soft,19.95526398771052,28.24381879036853,8.288554802658009,0.6128690826723209,0.5997923895845705
T013-S1,A,contrast_low,zero_hard,19.95526398771052,23.24968389024381,3.29441990253329,0.24359471001573607,0.23839716726029825
T013-S1,A,contrast_low,uniform,19.95526398771052,28.561473420506015,8.606209432795497,0.6363569772949813,0.6227791266224516
T013-S1,A,gaussian_noise,P00,30.67664385146025,37.55159578271224,6.874951931251997,1.0,0.9809166968316663
T013-S1,A,gaussian_noise,P01,30.67664385146025,33.02136331858969,2.344719467129448,0.3410524888866316,0.33454408084489323
T013-S1,A,gaussian_noise,P10,30.67664385146025,37.55159578271224,6.874951931251997,1.0,0.9809166968316663
T013-S1,A,gaussian_noise,P11,30.67664385146025,33.02136331858969,2.344719467129448,0.3410524888866316,0.33454408084489323
T013-S1,A,gaussian_noise,zero_soft,30.67664385146025,32.92230199434641,2.245658142886169,0.3266434682514518,0.32041003191885337
T013-S1,A,gaussian_noise,zero_hard,30.67664385146025,32.754901668948186,2.078257817487937,0.3022941597657783,0.2965253886689512
T013-S1,A,gaussian_noise,uniform,30.67664385146025,32.499557590179315,1.8229137387190708,0.2651529431693205,0.26009294916884435
T013-S1,A,gaussian_blur,P00,30.901579176174376,40.057521704756375,9.155942528581996,1.0,1.020124208704099
T013-S1,A,gaussian_blur,P01,30.901579176174376,34.142453549873096,3.2408743736987167,0.3539640363164926,0.36108728245707095
T013-S1,A,gaussian_blur,P10,30.901579176174376,40.057521704756375,9.155942528581996,1.0,1.020124208704099
T013-S1,A,gaussian_blur,P11,30.901579176174376,32.2837601743859,1.3821809982115199,0.1509599906177635,0.1539979409749242
T013-S1,A,gaussian_blur,zero_soft,30.901579176174376,33.24360574030768,2.342026564133302,0.25579306082604014,0.26094069376716367
T013-S1,A,gaussian_blur,zero_hard,30.901579176174376,33.8093784277806,2.907799251606226,0.31758600958109817,0.3239771767194102
