bank,target,estimator,stratum,n,L1_mean,L1_median,JS_mean,JS_median,top_class_agreement,top_class_in_true_argmax,spearman_mean,spearman_median,spearman_valid
A,contrast_low,pi_zero_soft,quartile_1,25,1.5858664329018015,1.6532006482118122,0.43725940595167045,0.44741915288319023,0.4,0.4,0.14840218948964343,0.2901294265928297,25
A,contrast_low,pi_zero_soft,quartile_2,25,1.5792331618357105,1.6212172780630627,0.4398940483001161,0.45456495732051194,0.16,0.16,0.04611842822543902,0.1565900178643122,25
A,contrast_low,pi_zero_soft,quartile_3,25,1.3473533676470248,1.3135583803751927,0.3524444082062887,0.35696839124462576,0.28,0.28,0.22825891216445973,0.1565900178643122,25
A,contrast_low,pi_zero_soft,quartile_4,25,1.294161937499311,1.252842840838685,0.32273500054302395,0.30814023916653244,0.12,0.12,0.08973391271807288,0.14167668282961582,25
A,contrast_low,pi_zero_hard,all,100,1.5309999999999997,1.7000000000000002,0.4795200212223116,0.5188919782723467,0.2,0.2,0.07625594798838345,0.09501921188046475,100
A,contrast_low,pi_zero_hard,quartile_1,25,1.4960000000000002,2.0,0.47311293538173055,0.6931471805599452,0.32,0.32,0.0947068686078617,-0.16563466499998444,25
A,contrast_low,pi_zero_hard,quartile_2,25,1.672,1.9,0.5365902615392768,0.6093722537889048,0.12,0.12,0.020463289032302812,0.0638550856814101,25
A,contrast_low,pi_zero_hard,quartile_3,25,1.4120000000000001,1.5,0.43536007902795926,0.43568324332671615,0.24,0.24,0.1575819638312283,0.21841799838463094,25
A,contrast_low,pi_zero_hard,quartile_4,25,1.544,1.7,0.47301680894027953,0.4789839426979995,0.12,0.12,0.032271670482140954,-0.019379844961240313,25
A,contrast_low,pi_oracle_state_soft,all,100,1.345680022258369,1.349089630578887,0.3566558750260727,0.3494700416801366,0.27,0.27,0.18667595831885578,0.22344869195704237,100
A,contrast_low,pi_oracle_state_soft,quartile_1,25,1.4838010733830274,1.5014615236131954,0.40142434063810584,0.40202017589645456,0.44,0.44,0.22809669837435556,0.2335496832484569,25
A,contrast_low,pi_oracle_state_soft,quartile_2,25,1.5089035791121896,1.5452092645729303,0.41628414204813213,0.4221963085688558,0.12,0.12,0.14435260177506332,0.2075997184430728,25
A,contrast_low,pi_oracle_state_soft,quartile_3,25,1.2592597230455982,1.2946995134640236,0.3272869901260603,0.32989955843103247,0.32,0.32,0.2040003608651336,0.26967994498529685,25
A,contrast_low,pi_oracle_state_soft,quartile_4,25,1.13075571349266,1.1928161277222382,0.28162802729199293,0.2903372765828065,0.2,0.2,0.17025417226087078,0.21334770066562783,25
A,contrast_low,pi_source_state_soft,all,100,1.345680022258369,1.349089630578887,0.3566558750260727,0.3494700416801366,0.27,0.27,0.18667595831885578,0.22344869195704237,100
A,contrast_low,pi_source_state_soft,quartile_1,25,1.4838010733830274,1.5014615236131954,0.40142434063810584,0.40202017589645456,0.44,0.44,0.22809669837435556,0.2335496832484569,25
A,contrast_low,pi_source_state_soft,quartile_2,25,1.5089035791121896,1.5452092645729303,0.41628414204813213,0.4221963085688558,0.12,0.12,0.14435260177506332,0.2075997184430728,25
A,contrast_low,pi_source_state_soft,quartile_3,25,1.2592597230455982,1.2946995134640236,0.3272869901260603,0.32989955843103247,0.32,0.32,0.2040003608651336,0.26967994498529685,25
A,contrast_low,pi_source_state_soft,quartile_4,25,1.13075571349266,1.1928161277222382,0.28162802729199293,0.2903372765828065,0.2,0.2,0.17025417226087078,0.21334770066562783,25
A,contrast_low,pi_source_state_soft,context_True,100,1.345680022258369,1.349089630578887,0.3566558750260727,0.3494700416801366,0.27,0.27,0.18667595831885578,0.22344869195704237,100
A,contrast_low,pi_source_state_soft,context_False,0,,,,,,,,,0
A,gaussian_noise,pi_zero_soft,all,100,1.325834513269683,1.4031002518977096,0.35147546722444617,0.3514158354677971,0.24,0.24,0.20066957344730618,0.25729625023129604,100
A,gaussian_noise,pi_zero_soft,quartile_1,25,1.4241803424449213,1.5200804455788581,0.386655248917616,0.407088719971777,0.44,0.44,0.2710584858648917,0.354649519006916,25
A,gaussian_noise,pi_zero_soft,quartile_2,25,1.499786525078284,1.5071663302331708,0.4095002947846272,0.40189679402276424,0.08,0.08,0.20129845545401445,0.3027495893961478,25
A,gaussian_noise,pi_zero_soft,quartile_3,25,1.2522652893522859,1.327104574913239,0.32634277117146276,0.34721191415811825,0.24,0.24,0.18356408517765752,0.20133002296840144,25
A,gaussian_noise,pi_zero_soft,quartile_4,25,1.1271058962032394,1.194534231105755,0.2834035540240786,0.2834454653033538,0.2,0.2,0.14675726729266114,0.12974982402692048,25
A,gaussian_noise,pi_zero_hard,all,100,1.319,1.4000000000000001,0.38459366698196695,0.3809517806307409,0.26,0.26,0.17438155725775503,0.19759510460612906,100
A,gaussian_noise,pi_zero_hard,quartile_1,25,1.276,1.4,0.3779747530729597,0.32986962204761905,0.44,0.44,0.21781259035245085,0.24845199749997662,25
