client,bank,target,role,candidate,delta_J,delta_accuracy,zero_accuracy,candidate_accuracy
5,A,gaussian_noise,selected,gaussian_noise,10.888954536027178,7.594936708860756,18.9873417721519,26.582278481012654
5,A,gaussian_noise,true,gaussian_noise,10.888954536027178,7.594936708860756,18.9873417721519,26.582278481012654
5,B,gaussian_noise,selected,gaussian_noise,13.28697017621904,7.594936708860756,18.9873417721519,26.582278481012654
5,B,gaussian_noise,true,gaussian_noise,13.28697017621904,7.594936708860756,18.9873417721519,26.582278481012654
5,A,gaussian_blur,selected,gaussian_blur,18.340770336798098,-6.962025316455694,32.91139240506329,25.949367088607595
5,A,gaussian_blur,true,gaussian_blur,18.340770336798098,-6.962025316455694,32.91139240506329,25.949367088607595
5,B,gaussian_blur,selected,gaussian_blur,18.53526029733655,-6.962025316455694,32.91139240506329,25.949367088607595
5,B,gaussian_blur,true,gaussian_blur,18.53526029733655,-6.962025316455694,32.91139240506329,25.949367088607595
6,A,clean,selected,clean,0.0,0.0,47.89272030651341,47.89272030651341
6,A,clean,true,clean,0.0,0.0,47.89272030651341,47.89272030651341
6,B,clean,selected,clean,0.0,0.0,47.89272030651341,47.89272030651341
