target,context,layer,restoration_ratio,mse_before,mse_after,gamma_abs_mean,beta_abs_mean,negative_scale_fraction,cap_fraction,gamma_abs_max_max,beta_abs_max_max,cap_fraction_max,clients_cap_gt10pct
gaussian_noise,random_derangement_2,2,0.856392253382904,0.19616722815583262,0.1679255138472646,1.2155645859241486,0.7121250531077385,0.17875,0.0053125,9.0,11.51882266998291,0.09375,0
gaussian_noise,random_derangement_3,1,0.46757738510658453,0.2138673699067953,0.10029841885022597,0.9839803349971771,0.2510182152688503,0.3415625,0.0,1.1433022022247314,0.8515632748603821,0.0,0
gaussian_noise,random_derangement_3,2,0.8563636051721644,0.19614409438731836,0.16789413819113883,1.1812143957614898,0.6834641383588314,0.169375,0.00390625,9.0,14.551712989807129,0.140625,1
gaussian_noise,random_derangement_4,1,0.4681933391216482,0.2137833803484306,0.10030342555184733,0.9830668210983277,0.2505175715684891,0.3146875,0.0,1.1620991230010986,0.8291358351707458,0.0,0
gaussian_noise,random_derangement_4,2,0.8568033097905089,0.19616054825408327,0.16797742808969182,1.1558970659971237,0.6651274397969246,0.17609375,0.0034375,9.0,12.998552322387695,0.09375,0
gaussian_noise,random_derangement_5,1,0.4671665446302243,0.21409314965054968,0.10031420411947377,0.9839192110300065,0.2510314691066742,0.3303125,0.0,1.1634612083435059,0.8693715333938599,0.0,0
gaussian_noise,random_derangement_5,2,0.8560266573305744,0.1962344197751959,0.16788797162488833,1.1895196622610091,0.6957209256291389,0.18,0.00328125,9.0,14.568904876708984,0.078125,0
gaussian_noise,random_derangement_6,1,0.4673935895915775,0.21414370803724325,0.10034745427601799,0.9836193877458572,0.2510878621041775,0.326875,0.0,1.150486707687378,0.8926509022712708,0.0,0
gaussian_noise,random_derangement_6,2,0.8560818586325789,0.19634809264711303,0.16802320755361128,1.2305650013685225,0.7240863527357578,0.183125,0.005,8.3701171875,10.864270210266113,0.046875,0
gaussian_noise,random_derangement_7,1,0.4686458363474683,0.21331813726820964,0.10022857193574769,0.9813834071159363,0.24994745418429376,0.3009375,0.0,1.2057026624679565,0.8699800968170166,0.0,0
gaussian_noise,random_derangement_7,2,0.8576915394442852,0.19580170193967103,0.1678676544095222,1.0224865412712096,0.5933158433437348,0.1684375,0.0015625,8.302825927734375,9.801162719726562,0.03125,0
gaussian_blur,correct_pair,1,0.6393483634479855,0.012844021861436416,0.008183034288942076,0.22694406151771546,0.02275198608636856,0.0,0.0,1.2409453392028809,0.06145057454705238,0.0,0
gaussian_blur,correct_pair,2,0.8851298555419292,0.009659977169693251,0.008548876023316089,0.0577516221627593,0.036124775744974615,0.00140625,0.0,1.002272129058838,0.1926574558019638,0.0,0
gaussian_blur,low_semantic_derangement,1,0.5747304920972267,0.17438548666888887,0.10026430752752295,0.9817460608482361,0.2530911660194397,0.38875,0.0,1.21821129322052,0.8559032082557678,0.0,0
gaussian_blur,low_semantic_derangement,2,0.8550374411104922,0.1964246586190719,0.16787621145027573,1.1242734611034393,0.6438247080147267,0.1690625,0.00234375,9.0,12.673134803771973,0.03125,0
gaussian_blur,high_semantic_derangement,1,0.5844759522073528,0.17128050548040036,0.10017424419255173,0.9643770682811738,0.24958608523011208,0.2821875,0.0,1.1945959329605103,0.7966569066047668,0.0,0
