client,bank,context,max_abs_error,L1
34,B,brightness_dark,8.405974329304756e-16,3.5428009732234905e-15
34,B,contrast_low,1.3322676295501878e-15,2.6922908347160046e-15
34,B,gaussian_noise,1.4432899320127035e-15,2.8617981000828813e-15
34,B,gaussian_blur,1.1102230246251565e-15,3.737090002532893e-15
35,A,clean,2.405483220021173e-16,4.625929269271486e-16
35,A,brightness_dark,9.621932880084691e-16,1.96139401017111e-15
35,A,contrast_low,6.106226635438361e-16,1.4543921622589552e-15
35,A,gaussian_noise,1.1102230246251565e-16,3.14563190310461e-16
35,A,gaussian_blur,1.3544720900426909e-15,4.118927421359331e-15
35,B,clean,2.405483220021173e-16,4.625929269271486e-16
35,B,brightness_dark,5.551115123125783e-16,1.0491607582707729e-15
35,B,contrast_low,8.141635513917814e-16,1.7023419710919066e-15
35,B,gaussian_noise,5.551115123125783e-16,1.1102230246251565e-15
35,B,gaussian_blur,3.3306690738754696e-16,8.326672684688674e-16
36,A,clean,6.938893903907228e-16,2.040034807748725e-15
36,A,brightness_dark,1.5404344466674047e-15,5.271576825854092e-15
36,A,contrast_low,2.1441182163073336e-15,5.396476916124422e-15
36,A,gaussian_noise,5.412337245047638e-16,1.4155343563970746e-15
36,A,gaussian_blur,6.661338147750939e-16,1.9884887387482713e-15
36,B,clean,6.938893903907228e-16,2.040034807748725e-15
36,B,brightness_dark,1.2891473602901929e-15,3.0119755895745875e-15
36,B,contrast_low,3.608224830031759e-16,1.1102230246251565e-15
36,B,gaussian_noise,8.961085841617335e-16,3.1799959491049126e-15
36,B,gaussian_blur,8.326672684688674e-16,2.3592239273284576e-15
37,A,clean,8.881784197001252e-16,1.7208456881689926e-15
37,A,brightness_dark,7.216449660063518e-16,1.4779844015322396e-15
37,A,contrast_low,2.5673907444456745e-16,5.898059818321144e-16
37,A,gaussian_noise,9.992007221626409e-16,2.942091015256665e-15
37,A,gaussian_blur,5.995204332975846e-16,1.559863349598345e-15
37,B,clean,8.881784197001252e-16,1.7208456881689926e-15
37,B,brightness_dark,5.551115123125783e-16,1.2351231148954867e-15
37,B,contrast_low,7.216449660063518e-16,2.0081158957907517e-15
37,B,gaussian_noise,4.440892098500626e-16,1.2823075934420559e-15
37,B,gaussian_blur,9.992007221626409e-16,4.100886297209172e-15
