client,bank,context,max_error,iterations,updates,trace,converged,cap_hit,direct_KKT,sum_error,objective,initial_objective,active_classes,clipped_coordinates,L1_change,differs_from_BBSE
83,A,gaussian_blur,1.1934897514720433e-15,0,0,"[{'active': [4, 7, 8], 'minimum': 0.04999999999999888, 'action': 'accept'}]",True,False,2.4116825676559964e-17,0.0,1.2283821926544839e-32,8.443999099922787e-33,3,0,2.005340338229189e-15,False
83,B,clean,7.216449660063518e-16,0,0,"[{'active': [4, 7, 8], 'minimum': 0.05000000000000068, 'action': 'accept'}]",True,False,2.1970989611357854e-17,0.0,5.193992318769327e-33,2.632505492734303e-32,3,0,4.121702978920894e-15,False
83,B,brightness_dark,1.249000902703301e-16,0,0,"[{'active': [4, 7, 8], 'minimum': 0.04999999999999988, 'action': 'accept'}]",True,False,2.2811370988410757e-18,0.0,1.6250033905767303e-34,2.4278754361431592e-32,3,0,8.881784197001252e-16,False
83,B,contrast_low,1.8041124150158794e-15,0,0,"[{'active': [4, 7, 8], 'minimum': 0.04999999999999827, 'action': 'accept'}]",True,False,1.2412002269634242e-17,0.0,8.251406105484064e-33,5.003806736761087e-32,3,0,6.328271240363392e-15,False
83,B,gaussian_noise,2.9976021664879227e-15,0,0,"[{'active': [4, 7, 8], 'minimum': 0.05000000000000274, 'action': 'accept'}]",True,False,3.7977623637102436e-17,0.0,4.554222465368192e-32,3.2138955946962e-33,3,0,7.031875082219586e-15,False
83,B,gaussian_blur,2.0816681711721685e-16,0,0,"[{'active': [4, 7, 8], 'minimum': 0.049999999999999795, 'action': 'accept'}]",True,False,2.90186331764422e-17,0.0,4.5439909625386346e-33,1.0887522716864093e-32,3,0,1.2906342661267445e-15,False
84,A,clean,1.7208456881689926e-15,0,0,"[{'active': [2, 3, 6], 'minimum': 0.1999999999999983, 'action': 'accept'}]",True,False,4.270762074227575e-17,0.0,3.0772749392662303e-32,1.658707164603507e-32,3,0,5.731526364627371e-15,False
84,A,brightness_dark,1.1379786002407855e-15,0,0,"[{'active': [2, 3, 6], 'minimum': 0.20000000000000115, 'action': 'accept'}]",True,False,1.85191196831237e-17,0.0,1.1706042943228668e-32,7.262110059832026e-32,3,0,3.353567423758363e-15,False
84,A,contrast_low,3.3029134982598407e-15,0,0,"[{'active': [2, 3, 6], 'minimum': 0.1999999999999967, 'action': 'accept'}]",True,False,4.717368286117857e-17,0.0,4.934744092661576e-32,1.4857120119816925e-32,3,0,8.46545056276682e-15,False
84,A,gaussian_noise,6.938893903907228e-16,0,0,"[{'active': [2, 3, 6], 'minimum': 0.2000000000000007, 'action': 'accept'}]",True,False,8.50010714997056e-18,0.0,3.08299254378863e-33,1.293382328277553e-32,3,0,2.8282931552325864e-15,False
84,A,gaussian_blur,8.604228440844963e-16,0,0,"[{'active': [2, 3, 6], 'minimum': 0.19999999999999915, 'action': 'accept'}]",True,False,2.572565510954414e-17,0.0,1.1099675937300499e-32,2.242655142272793e-32,3,0,5.7592819402429996e-15,False
84,B,clean,1.7208456881689926e-15,0,0,"[{'active': [2, 3, 6], 'minimum': 0.1999999999999983, 'action': 'accept'}]",True,False,4.270762074227575e-17,0.0,3.0772749392662303e-32,1.658707164603507e-32,3,0,5.731526364627371e-15,False
84,B,brightness_dark,2.886579864025407e-15,0,0,"[{'active': [2, 3, 6], 'minimum': 0.2000000000000029, 'action': 'accept'}]",True,False,2.287593050350808e-17,0.0,5.040557392145195e-32,1.077572850212349e-31,3,0,6.6202004196063455e-15,False
84,B,contrast_low,1.8041124150158794e-15,0,0,"[{'active': [2, 3, 6], 'minimum': 0.1999999999999982, 'action': 'accept'}]",True,False,6.373145615922675e-17,0.0,3.164543639871277e-32,1.0496694355102699e-32,3,0,5.717648576819556e-15,False
84,B,gaussian_noise,7.771561172376096e-16,0,0,"[{'active': [2, 3, 6], 'minimum': 0.19999999999999923, 'action': 'accept'}]",True,False,9.847492900356866e-18,0.0,6.861125426879528e-33,1.1949342061984462e-31,3,0,5.19425772235341e-15,False
84,B,gaussian_blur,2.4147350785597155e-15,0,0,"[{'active': [2, 3, 6], 'minimum': 0.20000000000000243, 'action': 'accept'}]",True,False,2.93253948666762e-17,0.0,4.663759730955216e-32,3.5017318434159484e-32,3,0,5.467848396278896e-15,False
85,A,clean,1.6653345369377348e-16,0,0,"[{'active': [5, 6], 'minimum': 0.35000000000000014, 'action': 'accept'}]",True,False,1.3170575968475728e-17,0.0,2.3126205660337356e-33,1.1590487146565434e-31,2,0,3.1114000265120014e-15,False
85,A,brightness_dark,1.1102230246251565e-16,0,0,"[{'active': [5, 6], 'minimum': 0.3499999999999999, 'action': 'accept'}]",True,False,2.5004205621502567e-17,0.0,2.5341777412767203e-33,3.5825682389332955e-32,2,0,3.419883424068562e-15,False
85,A,contrast_low,0.0,0,0,"[{'active': [5, 6], 'minimum': 0.35, 'action': 'accept'}]",True,False,0.0,0.0,0.0,4.019175052693113e-32,2,0,2.3869795029440866e-15,False
85,A,gaussian_noise,3.885780586188048e-16,0,0,"[{'active': [5, 6], 'minimum': 0.35000000000000037, 'action': 'accept'}]",True,False,3.0707679529843975e-17,0.0,6.700129720590907e-33,2.408766599976192e-32,2,0,2.474872159060245e-15,False
85,A,gaussian_blur,3.3306690738754696e-16,0,0,"[{'active': [5, 6], 'minimum': 0.34999999999999964, 'action': 'accept'}]",True,False,1.0821219056397756e-17,0.0,2.9671358205715852e-33,8.836708252645497e-33,2,0,1.0824674490095276e-15,False
85,B,clean,1.6653345369377348e-16,0,0,"[{'active': [5, 6], 'minimum': 0.35000000000000014, 'action': 'accept'}]",True,False,1.3170575968475728e-17,0.0,2.3126205660337356e-33,1.1590487146565434e-31,2,0,3.1114000265120014e-15,False
85,B,brightness_dark,1.6653345369377348e-16,0,0,"[{'active': [5, 6], 'minimum': 0.35000000000000014, 'action': 'accept'}]",True,False,1.4291897046585352e-17,0.0,1.61898485950052e-33,6.886704183953421e-33,2,0,3.4104663537704027e-15,False
85,B,contrast_low,8.326672684688674e-16,0,0,"[{'active': [5, 6], 'minimum': 0.3500000000000008, 'action': 'accept'}]",True,False,5.448382392622601e-17,0.0,1.497410531761076e-32,5.790466364240975e-32,2,0,6.300515664747763e-15,False
85,B,gaussian_noise,3.3306690738754696e-16,0,0,"[{'active': [5, 6], 'minimum': 0.3500000000000003, 'action': 'accept'}]",True,False,1.4456610129848118e-17,0.0,2.4314865547888853e-33,2.632505492734303e-32,2,0,3.684552662974738e-15,False
85,B,gaussian_blur,0.0,0,0,"[{'active': [5, 6], 'minimum': 0.35, 'action': 'accept'}]",True,False,0.0,0.0,0.0,6.616773065185397e-32,2,0,4.898859096158503e-15,False
86,A,clean,8.770761894538737e-15,0,0,"[{'active': [2, 4, 5, 6], 'minimum': 0.04999999999999865, 'action': 'accept'}]",True,False,3.50012900121738e-17,0.0,4.890056499420716e-32,1.6555775284438776e-31,4,0,2.15036322082085e-14,False
86,A,brightness_dark,1.942890293094024e-14,0,0,"[{'active': [2, 4, 5, 6], 'minimum': 0.049999999999999385, 'action': 'accept'}]",True,False,1.8663007281019233e-16,0.0,1.5496852357398833e-31,9.756038874536592e-33,4,0,4.070367554913952e-14,False
86,A,contrast_low,4.773959005888173e-14,0,0,"[{'active': [2, 4, 5, 6], 'minimum': 0.05000000000000883, 'action': 'accept'}]",True,False,3.859952725547152e-17,0.0,6.490760070777248e-31,1.1341319960010335e-31,4,0,9.67304939851014e-14,False
86,A,gaussian_noise,5.473399511402022e-14,0,0,"[{'active': [2, 4, 5, 6], 'minimum': 0.05000000000000895, 'action': 'accept'}]",True,False,3.717313388198678e-17,0.0,9.5308404879925e-31,1.3848640006359468e-32,4,0,1.1061568327974669e-13,False
86,A,gaussian_blur,3.574918139293004e-14,0,0,"[{'active': [2, 4, 5, 6], 'minimum': 0.050000000000005665, 'action': 'accept'}]",True,False,2.7284111324910486e-17,0.0,3.602692702219373e-31,1.4194254153410833e-31,4,0,7.423228698399953e-14,False
86,B,clean,8.770761894538737e-15,0,0,"[{'active': [2, 4, 5, 6], 'minimum': 0.04999999999999865, 'action': 'accept'}]",True,False,3.50012900121738e-17,0.0,4.890056499420716e-32,1.6555775284438776e-31,4,0,2.15036322082085e-14,False
86,B,brightness_dark,2.786659791809143e-14,0,0,"[{'active': [2, 4, 5, 6], 'minimum': 0.04999999999999837, 'action': 'accept'}]",True,False,2.587000621252599e-16,0.0,2.587968362770348e-31,2.5327483401461204e-32,4,0,5.660749646807517e-14,False
