client,bank,target,alpha,prediction_key,reused_key,query_accuracy,class_total,class_correct,source_J,source_C,source_agreement,DeltaAcc_vs_alpha0
1,B,contrast_low,0.5,B|contrast_low|0.5|c1,,3.0303030303030303,"[0, 4, 0, 0, 0, 8, 0, 86, 0, 1]","[0, 3, 0, 0, 0, 0, 0, 0, 0, 0]",42.501419675979555,0.0007696510976448189,0.9500000000000001,2.02020202020202
1,B,contrast_low,0.75,B|contrast_low|0.75|c1,,3.0303030303030303,"[0, 4, 0, 0, 0, 8, 0, 86, 0, 1]","[0, 3, 0, 0, 0, 0, 0, 0, 0, 0]",24.337180328165427,0.001039364121882451,1.0,2.02020202020202
1,B,contrast_low,1.0,B|contrast_low|1.0|c1,r79,4.040404040404041,"[0, 4, 0, 0, 0, 8, 0, 86, 0, 1]","[0, 3, 0, 0, 0, 0, 0, 1, 0, 0]",14.970692766754052,0.0013485776795190774,1.0,3.0303030303030303
1,B,contrast_low,1.25,B|contrast_low|1.25|c1,,6.0606060606060606,"[0, 4, 0, 0, 0, 8, 0, 86, 0, 1]","[0, 3, 0, 0, 0, 0, 0, 3, 0, 0]",13.744720345792066,0.0017127024567349719,0.9,5.05050505050505
1,B,contrast_low,1.5,B|contrast_low|1.5|c1,,5.05050505050505,"[0, 4, 0, 0, 0, 8, 0, 86, 0, 1]","[0, 3, 0, 0, 0, 0, 0, 2, 0, 0]",19.95343009589395,0.0021365405415288124,0.9,4.04040404040404
1,A,gaussian_noise,0.0,A|gaussian_noise|0.0|c1,r84,10.1010101010101,"[0, 4, 0, 0, 0, 8, 0, 86, 0, 1]","[0, 3, 0, 0, 0, 1, 0, 6, 0, 0]",29.0841339521362,0.0036742143897453075,0.9,0.0
1,A,gaussian_noise,0.25,A|gaussian_noise|0.25|c1,,10.1010101010101,"[0, 4, 0, 0, 0, 8, 0, 86, 0, 1]","[0, 3, 0, 0, 0, 1, 0, 6, 0, 0]",18.741327910282692,0.003607996900803304,0.9500000000000001,0.0
1,A,gaussian_noise,0.5,A|gaussian_noise|0.5|c1,,11.11111111111111,"[0, 4, 0, 0, 0, 8, 0, 86, 0, 1]","[0, 3, 0, 0, 0, 1, 0, 7, 0, 0]",10.514213698679013,0.003531918314915142,1.0,1.0101010101010104
1,A,gaussian_noise,0.75,A|gaussian_noise|0.75|c1,,11.11111111111111,"[0, 4, 0, 0, 0, 8, 0, 86, 0, 1]","[0, 3, 0, 0, 0, 1, 0, 7, 0, 0]",5.025542865259256,0.003453817781599847,0.8500000000000001,1.0101010101010104
1,A,gaussian_noise,1.0,A|gaussian_noise|1.0|c1,r86,12.121212121212121,"[0, 4, 0, 0, 0, 8, 0, 86, 0, 1]","[0, 3, 0, 0, 0, 1, 0, 8, 0, 0]",2.966252718794071,0.0033601932219936093,0.8500000000000001,2.0202020202020208
