method,context,support_seed,lr,steps,checkpoint_sha256,source_tensor_sha256,baseline_accuracy,query_loss_before,gain_pp,accuracy,loss,worst_class_accuracy,gamma_norm,beta_norm,support_loss_trajectory,prediction_key,support_loss_before,support_loss_after
prior,shuffled,11,0.0,0,ffcf2dfa205c72094a54f592b1fef8b44dc830a3242acc6d917909b85c1df997,04472e1f2f38cef296ab07087f6dc93b277f2fbcfba33f6c07939ee58bbf55ad,41.63333177566528,2.0441701412200928,-0.3999978303909302,41.23333394527435,2.0500497817993164,17.85714328289032,0.0,0.0,,r0059,4.827887058258057,4.820924758911133
affine,shuffled,11,0.001,1,ffcf2dfa205c72094a54f592b1fef8b44dc830a3242acc6d917909b85c1df997,04472e1f2f38cef296ab07087f6dc93b277f2fbcfba33f6c07939ee58bbf55ad,41.63333177566528,2.0441701412200928,0.06666779518127441,41.69999957084656,2.043421506881714,18.65079402923584,0.0010969029972329736,0.0010968028800562024,,r0060,4.827887058258057,4.8254780769348145
affine,shuffled,11,0.001,3,ffcf2dfa205c72094a54f592b1fef8b44dc830a3242acc6d917909b85c1df997,04472e1f2f38cef296ab07087f6dc93b277f2fbcfba33f6c07939ee58bbf55ad,41.63333177566528,2.0441701412200928,0.03333389759063721,41.66666567325592,2.0419256687164307,18.65079402923584,0.0032915640622377396,0.003302033059298992,,r0061,4.827887058258057,4.820638179779053
affine,shuffled,11,0.001,5,ffcf2dfa205c72094a54f592b1fef8b44dc830a3242acc6d917909b85c1df997,04472e1f2f38cef296ab07087f6dc93b277f2fbcfba33f6c07939ee58bbf55ad,41.63333177566528,2.0441701412200928,0.10000169277191162,41.733333468437195,2.0404393672943115,18.65079402923584,0.005485124420374632,0.005506039597094059,,r0062,4.827887058258057,4.815805435180664
affine,shuffled,11,0.001,10,ffcf2dfa205c72094a54f592b1fef8b44dc830a3242acc6d917909b85c1df997,04472e1f2f38cef296ab07087f6dc93b277f2fbcfba33f6c07939ee58bbf55ad,41.63333177566528,2.0441701412200928,0.06666779518127441,41.69999957084656,2.0367536544799805,18.65079402923584,0.010955505073070526,0.010997341945767403,,r0063,4.827887058258057,4.803796291351318
affine,shuffled,11,0.01,1,ffcf2dfa205c72094a54f592b1fef8b44dc830a3242acc6d917909b85c1df997,04472e1f2f38cef296ab07087f6dc93b277f2fbcfba33f6c07939ee58bbf55ad,41.63333177566528,2.0441701412200928,0.06666779518127441,41.69999957084656,2.0367603302001953,18.65079402923584,0.010969028808176517,0.010968027636408806,,r0064,4.827887058258057,4.803814888000488
affine,shuffled,11,0.01,3,ffcf2dfa205c72094a54f592b1fef8b44dc830a3242acc6d917909b85c1df997,04472e1f2f38cef296ab07087f6dc93b277f2fbcfba33f6c07939ee58bbf55ad,41.63333177566528,2.0441701412200928,-0.13333261013031006,41.49999916553497,2.0225026607513428,18.65079402923584,0.032703887671232224,0.03253145143389702,,r0065,4.827887058258057,4.757049083709717
affine,shuffled,11,0.01,5,ffcf2dfa205c72094a54f592b1fef8b44dc830a3242acc6d917909b85c1df997,04472e1f2f38cef296ab07087f6dc93b277f2fbcfba33f6c07939ee58bbf55ad,41.63333177566528,2.0441701412200928,-0.13333261013031006,41.49999916553497,2.0090363025665283,18.65079402923584,0.05427459999918938,0.05393247678875923,,r0066,4.827887058258057,4.710826873779297
affine,shuffled,11,0.01,10,ffcf2dfa205c72094a54f592b1fef8b44dc830a3242acc6d917909b85c1df997,04472e1f2f38cef296ab07087f6dc93b277f2fbcfba33f6c07939ee58bbf55ad,41.63333177566528,2.0441701412200928,0.16666650772094727,41.79999828338623,1.9774552583694458,19.04762089252472,0.10719747841358185,0.10791053622961044,,r0067,4.827887058258057,4.596577167510986
affine,shuffled,11,0.1,1,ffcf2dfa205c72094a54f592b1fef8b44dc830a3242acc6d917909b85c1df997,04472e1f2f38cef296ab07087f6dc93b277f2fbcfba33f6c07939ee58bbf55ad,41.63333177566528,2.0441701412200928,0.20000040531158447,41.83333218097687,1.9770852327346802,18.65079402923584,0.10969030112028122,0.10968028008937836,,r0068,4.827887058258057,4.592746257781982
