client,bank,context,D_actual,p50,p90,p95,maximum,percentile,above_p95
2,A,gaussian_noise,0.0918248550577285,0.14166637462492054,0.22108318670673746,0.24897825062241793,0.2993504044207841,0.25,False
2,A,gaussian_blur,0.09829153649880931,0.14840159976572037,0.22062351409454523,0.23557019806812668,0.37467856973655067,0.140625,False
2,B,clean,0.11089244996671287,0.1370952333545224,0.20716048404443052,0.23262375488651868,0.3266657548051128,0.296875,False
2,B,brightness_dark,0.10014569461080033,0.14172774348307648,0.21444985202240807,0.24923538561277953,0.33762952863910856,0.25,False
2,B,contrast_low,0.09821131964067126,0.13699152080352617,0.23110377376867913,0.2601442045463718,0.35669115707215127,0.234375,False
2,B,gaussian_noise,0.08881487077965444,0.14982176573874162,0.20853844155699938,0.2388517107133697,0.32025789265417176,0.1015625,False
2,B,gaussian_blur,0.09906467088006365,0.13805727137865642,0.23200129193853633,0.2665446984728551,0.3759877274218173,0.1484375,False
3,A,clean,0.1320560348597649,0.16220782831106162,0.25521432894343665,0.28157854120473974,0.4104094672035463,0.328125,False
3,A,brightness_dark,0.1404917041847776,0.1513155276905091,0.25124204258300287,0.28919566476033715,0.3999068330965914,0.390625,False
3,A,contrast_low,0.22473656235210182,0.1502629192421276,0.2659832493908247,0.29699611865725356,0.48512583321494634,0.828125,False
3,A,gaussian_noise,0.1304045247066446,0.15460460238536328,0.2627213921720183,0.2917137316831901,0.3491774961245457,0.3046875,False
3,A,gaussian_blur,0.14004295432367364,0.1581095992857769,0.24940622815074584,0.2744018275571335,0.34925864032476955,0.3515625,False
3,B,clean,0.1320560348597649,0.16271000881555042,0.2603870034488882,0.28098484886332403,0.47705474786663055,0.265625,False
3,B,brightness_dark,0.14221892820227175,0.15587292374768347,0.24388466773812512,0.2912044306781812,0.3479600356003341,0.40625,False
3,B,contrast_low,0.23454212120484952,0.1633266785670744,0.2782237858545795,0.3241132739607478,0.4677634525623955,0.84375,False
3,B,gaussian_noise,0.1303107576761461,0.16593416380516166,0.2354824986401587,0.2754761430843012,0.38719288850255074,0.296875,False
3,B,gaussian_blur,0.14101009089728592,0.16450195084002228,0.2449893188009617,0.2651719300333485,0.3413835564969603,0.375,False
4,A,clean,0.1946838943678078,0.15320856041758318,0.22809482361686406,0.24622136621158394,0.2889526648536069,0.7734375,False
4,A,brightness_dark,0.19930823275806503,0.14041242310876428,0.2181546489140127,0.24766152677734327,0.2706364495956972,0.84375,False
4,A,contrast_low,0.20594761614456286,0.14079316542281906,0.21901862054368124,0.2423642196298374,0.3215904076643564,0.8671875,False
4,A,gaussian_noise,0.1687567970477621,0.15624683109387422,0.2333146357956362,0.25370656068052555,0.32350583471832883,0.59375,False
4,A,gaussian_blur,0.19309602838580422,0.1548128029820661,0.24153996608831807,0.26067013522512195,0.3405880662057278,0.7421875,False
4,B,clean,0.1946838943678078,0.1635424660822165,0.234986347186961,0.25121174563091103,0.3235781817812479,0.765625,False
4,B,brightness_dark,0.2016565117522839,0.1427059894571553,0.21957035445845,0.2529355853270157,0.32495870689731066,0.84375,False
4,B,contrast_low,0.20925055710657078,0.1487490938170533,0.24477298694564822,0.29919071865785557,0.34824741745085513,0.8203125,False
4,B,gaussian_noise,0.166784099850894,0.1478025444079723,0.21591658509460893,0.241191420988631,0.3448465276799762,0.6640625,False
4,B,gaussian_blur,0.1934271023122775,0.14702224216936194,0.2225402873537762,0.2430521360765067,0.3262654606817731,0.796875,False
5,A,clean,0.27122694389009244,0.1700632474796354,0.24479361165363073,0.274595727763873,0.359048647264035,0.9375,False
5,A,brightness_dark,0.24940074930081602,0.17393245955438266,0.25912257330309807,0.29282732778203474,0.43776677436354805,0.8671875,False
5,A,contrast_low,0.2583784098486173,0.14449134583737666,0.24389015995950106,0.28730405815935484,0.3279637758457635,0.921875,False
5,A,gaussian_noise,0.26304716089281444,0.1641256927135475,0.2319005000149535,0.25927442333889555,0.363804744845067,0.953125,True
5,A,gaussian_blur,0.2483407392559674,0.16902222885271573,0.26246328717600304,0.2819504059045408,0.36946315941715635,0.875,False
5,B,clean,0.27122694389009244,0.17160020495663061,0.2771968222971632,0.29489613001460074,0.4143459016695629,0.890625,False
5,B,brightness_dark,0.25234483272295327,0.16185754640658293,0.24703465856123502,0.28409328589581345,0.32839045114168763,0.8984375,False
5,B,contrast_low,0.25506437051525527,0.15943524924490696,0.2670530091145496,0.2908513788058778,0.36303365069625976,0.859375,False
