client,bank,context,salt,train_half,argmax_size,best_tied,legacy_margin_pp,distinct_level_margin_pp,legacy_margin_quartile,actual_state,actual_true_regret_pp,actual_canonical_agreement,actual_optimal_set_agreement,actual_L1,actual_DU_pp,boot_true_regret_mean_pp,boot_true_regret_p05_pp,boot_true_regret_median_pp,boot_true_regret_p95_pp,boot_canonical_agreement,boot_optimal_set_agreement,boot_L1_mean,boot_DU_mean_pp,boot_DU_median_pp,boot_query_oracle_regret_mean_pp,boot_query_oracle_regret_p95_pp
0,B,gaussian_noise,T013-S1,0,1,False,9.368502512623758,9.368502512623758,4,1,0.0,True,True,1.2082317528138873,5.848920641029683,0.8051056846786042,0.0,0.0,9.368502512623758,0.9140625,0.9140625,0.6466462423193955,5.423644355286464,4.607888538216265,0.5793539325842696,6.741573033707865
0,B,gaussian_noise,T013-S1,1,1,False,7.785832632653595,7.785832632653595,3,1,0.0,True,True,1.2082317528138873,4.45815284183174,0.8372315083833437,0.0,0.0,8.325603911238314,0.8984375,0.8984375,0.6466462423193955,5.5257959419945815,4.4010858153969,1.1499297752808988,11.235955056179776
0,B,gaussian_noise,T013-S2,0,1,False,9.080292928004411,9.080292928004411,3,1,0.0,True,True,1.2082317528138873,5.052719261087442,0.8566737203021018,0.0,0.0,9.080292928004413,0.90625,0.90625,0.6466462423193955,5.462601574143859,4.411717313117154,0.877808988764045,8.98876404494382
0,B,gaussian_noise,T013-S2,1,1,False,8.61114078386485,8.61114078386485,3,1,0.0,True,True,1.2082317528138873,5.239601564263714,0.8212802152946901,0.0,0.0,8.61114078386485,0.90625,0.90625,0.6466462423193955,5.446520020013683,4.417952283846761,0.8602528089887641,8.98876404494382
0,B,gaussian_noise,T013-S3,0,1,False,8.639353889088158,8.639353889088158,3,1,0.0,True,True,1.2082317528138873,5.3116393988484045,0.9627609372402829,0.0,0.0,8.639353889088158,0.890625,0.890625,0.6466462423193955,5.685068400729387,4.444550912231704,1.6327247191011236,14.606741573033707
0,B,gaussian_noise,T013-S3,1,1,False,9.059595968188669,9.059595968188669,3,1,0.0,True,True,1.2082317528138873,4.9917561700500155,0.7077809350147397,0.0,0.0,9.059595968188669,0.921875,0.921875,0.6466462423193955,5.242259220035617,4.372839529304397,0.26334269662921345,3.3707865168539324
0,B,gaussian_blur,T013-S0,0,1,False,2.4808358976610103,2.4808358976610103,2,1,2.4808358976610103,False,False,1.2384973946810718,11.715113993876082,2.53745369972283,0.0,2.4808358976610108,2.4808358976610108,0.1953125,0.1953125,0.6471090390167907,7.591123257907001,6.659621146089306,1.0358146067415732,2.247191011235955
0,B,gaussian_blur,T013-S0,1,1,False,0.8639119262108039,0.8639119262108039,1,1,0.0,True,True,1.2384973946810718,9.336675960571084,0.9570014875292832,0.0,0.0,12.613665524571044,0.7734375,0.7734375,0.6471090390167907,7.092108577545854,5.969323901329923,1.4571629213483144,14.606741573033707
0,B,gaussian_blur,T013-S1,0,1,False,2.7424365032771054,2.7424365032771054,2,1,0.0,True,True,1.2384973946810718,8.765707805537527,0.9347042683120625,0.0,0.0,2.7424365032771054,0.8125,0.8125,0.6471090390167907,6.966434066161967,5.760532827122621,0.8075842696629214,1.1235955056179776
0,B,gaussian_blur,T013-S1,1,1,False,4.3308698756100235,4.3308698756100235,3,1,4.3308698756100235,False,False,1.2384973946810718,12.248727232158535,3.7325344808779413,0.0,4.330869875610023,4.330869875610023,0.2578125,0.2578125,0.6471090390167907,7.746626064945687,6.6544521295741745,1.694171348314607,4.49438202247191
