client,target,n_query,none,oracle_correct,oracle_wrong_clean,oracle_wrong_alt,oracle_noise_source,oracle_wrong_clean_delta,oracle_wrong_alt_delta,oracle_noise_source_delta
74,brightness_dark,164,53.04877758026123,70.7317054271698,53.04877758026123,40.24389982223511,92.07316637039185,17.68292784690857,30.487805604934692,-21.341460943222046
75,brightness_dark,200,11.999999731779099,51.499998569488525,11.999999731779099,7.499999552965164,42.49999821186066,39.49999883770943,43.99999901652336,9.000000357627869
76,brightness_dark,167,33.53293538093567,54.4910192489624,33.53293538093567,27.544909715652466,54.4910192489624,20.958083868026733,26.946109533309937,0.0
77,brightness_dark,172,43.60465109348297,36.62790656089783,43.60465109348297,45.34883797168732,51.744186878204346,-6.976744532585144,-8.72093141078949,-15.116280317306519
78,brightness_dark,98,0.0,9.183673560619354,0.0,0.0,0.0,9.183673560619354,9.183673560619354,9.183673560619354
79,brightness_dark,18,72.22222089767456,33.33333432674408,72.22222089767456,77.77777910232544,77.77777910232544,-38.88888657093048,-44.44444477558136,-44.44444477558136
80,brightness_dark,80,40.00000059604645,63.749998807907104,40.00000059604645,28.749999403953552,81.25,23.749998211860657,34.99999940395355,-17.500001192092896
81,brightness_dark,17,0.0,5.882352963089943,0.0,0.0,0.0,5.882352963089943,5.882352963089943,5.882352963089943
82,brightness_dark,163,0.0,14.723926782608032,0.0,0.0,0.0,14.723926782608032,14.723926782608032,14.723926782608032
83,brightness_dark,509,9.233792126178741,58.153241872787476,9.233792126178741,7.465618848800659,79.1748583316803,48.919449746608734,50.687623023986816,-21.021616458892822
84,brightness_dark,254,56.29920959472656,62.5984251499176,56.29920959472656,51.18110179901123,71.2598443031311,6.29921555519104,11.417323350906372,-8.661419153213501
85,brightness_dark,222,36.036038398742676,49.54954981803894,36.036038398742676,24.32432472705841,63.9639675617218,13.513511419296265,25.22522509098053,-14.414417743682861
86,brightness_dark,40,10.000000149011612,12.5,10.000000149011612,10.000000149011612,5.000000074505806,2.499999850988388,2.499999850988388,7.499999925494194
87,brightness_dark,150,7.333333790302277,34.00000035762787,7.333333790302277,3.999999910593033,0.0,26.666666567325592,30.000000447034836,34.00000035762787
88,brightness_dark,77,24.67532455921173,35.0649356842041,24.67532455921173,19.480518996715546,48.051947355270386,10.38961112499237,15.584416687488556,-12.987011671066284
89,brightness_dark,155,2.5806451216340065,11.612903326749802,2.5806451216340065,1.2903225608170033,3.870967775583267,9.032258205115795,10.322580765932798,7.741935551166534
90,brightness_dark,155,16.774193942546844,21.935483813285828,16.774193942546844,17.419354617595673,0.6451612804085016,5.161289870738983,4.516129195690155,21.290322532877326
91,brightness_dark,183,0.5464480724185705,3.82513664662838,0.5464480724185705,0.0,0.0,3.2786885742098093,3.82513664662838,3.82513664662838
92,brightness_dark,96,15.625,73.95833730697632,15.625,11.45833358168602,71.875,58.33333730697632,62.5000037252903,2.0833373069763184
93,brightness_dark,218,1.3761467300355434,4.128440096974373,1.3761467300355434,0.0,0.0,2.7522933669388294,4.128440096974373,4.128440096974373
94,brightness_dark,293,4.095562919974327,18.430033326148987,4.095562919974327,2.38907840102911,0.0,14.33447040617466,16.040954925119877,18.430033326148987
95,brightness_dark,38,26.31579041481018,63.15789222717285,26.31579041481018,13.15789520740509,57.894736528396606,36.84210181236267,49.99999701976776,5.263155698776245
96,brightness_dark,215,0.9302325546741486,4.1860464960336685,0.9302325546741486,0.4651162773370743,0.4651162773370743,3.25581394135952,3.7209302186965942,3.7209302186965942
97,brightness_dark,170,67.05882549285889,40.58823585510254,67.05882549285889,69.9999988079071,0.58823530562222,-26.470589637756348,-29.411762952804565,40.00000054948032
98,brightness_dark,66,4.545454680919647,13.636364042758942,4.545454680919647,3.030303120613098,4.545454680919647,9.090909361839294,10.606060922145844,9.090909361839294
99,brightness_dark,145,0.6896551698446274,5.517241358757019,0.6896551698446274,0.6896551698446274,0.6896551698446274,4.827586188912392,4.827586188912392,4.827586188912392
0,contrast_low,178,5.056179687380791,19.662921130657196,5.056179687380791,9.550561755895615,5.056179687380791,14.606741443276405,10.112359374761581,14.606741443276405
1,contrast_low,99,1.0101010091602802,7.070706784725189,1.0101010091602802,3.030303120613098,0.0,6.060605775564909,4.040403664112091,7.070706784725189
2,contrast_low,140,0.0,0.7142857182770967,0.0,0.0,0.0,0.7142857182770967,0.7142857182770967,0.7142857182770967
